SampleLabel,Inbred,superblock,block,rep,Row,Col,Check,IsFill,IsExperimental,Year,Location,NIRBase,FileSource,,,,,,
485,W6462,1,23,2,48,6,99,1,1,2015,Wisconsin,15W485,Wi_plot_line_2015_rep2,,,,,,
486,P39,1,23,2,48,7,99,1,1,2015,Wisconsin,15W486,Wi_plot_line_2015_rep2,,,,,,
487,We05407,1,23,2,48,8,99,1,1,2015,Wisconsin,15W487,Wi_plot_line_2015_rep2,,,,,,
488,C2,1,23,2,48,9,99,1,1,2015,Wisconsin,15W488,Wi_plot_line_2015_rep2,,,,,,
489,Wh04020a,1,23,2,48,10,99,1,1,2015,Wisconsin,15W489,Wi_plot_line_2015_rep2,,,,,,
490,Check1,1,23,2,49,10,1,1,0,2015,Wisconsin,15W490,Wi_plot_line_2015_rep2,,,,,,
491,IL453b,1,23,2,49,9,99,1,1,2015,Wisconsin,15W491,Wi_plot_line_2015_rep2,,,,,,
492,We09425,1,23,2,49,8,99,1,1,2015,Wisconsin,15W492,Wi_plot_line_2015_rep2,,,,,,
493,We03418a,1,23,2,49,7,99,1,1,2015,Wisconsin,15W493,Wi_plot_line_2015_rep2,,,,,,
494,I817,1,23,2,49,6,99,1,1,2015,Wisconsin,15W494,Wi_plot_line_2015_rep2,,,,,,
495,C13,1,23,2,49,5,99,1,1,2015,Wisconsin,15W495,Wi_plot_line_2015_rep2,,,,,,
496,Wh03031,1,23,2,49,4,99,1,1,2015,Wisconsin,15W496,Wi_plot_line_2015_rep2,,,,,,
497,Check2,1,23,2,49,3,2,1,0,2015,Wisconsin,15W497,Wi_plot_line_2015_rep2,,,,,,
498,Wh00033,1,23,2,49,2,99,1,1,2015,Wisconsin,15W498,Wi_plot_line_2015_rep2,,,,,,
499,Wh09009,1,23,2,49,1,99,1,1,2015,Wisconsin,15W499,Wi_plot_line_2015_rep2,,,,,,
500,NJ618,1,23,2,50,1,99,1,1,2015,Wisconsin,15W500,Wi_plot_line_2015_rep2,,,,,,
501,V781,1,23,2,50,2,99,1,1,2015,Wisconsin,15W501,Wi_plot_line_2015_rep2,,,,,,
502,We06409b,1,23,2,50,3,99,1,1,2015,Wisconsin,15W502,Wi_plot_line_2015_rep2,,,,,,
503,S4,1,23,2,50,4,99,1,1,2015,Wisconsin,15W503,Wi_plot_line_2015_rep2,,,,,,
504,Wh9261,1,23,2,50,5,99,1,1,2015,Wisconsin,15W504,Wi_plot_line_2015_rep2,,,,,,
505,Wh10140R,1,23,2,50,6,99,1,1,2015,Wisconsin,15W505,Wi_plot_line_2015_rep2,,,,,,
506,FILL,1,23,2,50,7,99,1,1,2015,Wisconsin,15W506,Wi_plot_line_2015_rep2,,,,,,
507,SD909,1,24,2,50,8,99,1,1,2015,Wisconsin,15W507,Wi_plot_line_2015_rep2,,,,,,
508,W6366,1,24,2,50,9,99,1,1,2015,Wisconsin,15W508,Wi_plot_line_2015_rep2,,,,,,
509,SD277,1,24,2,50,10,99,1,1,2015,Wisconsin,15W509,Wi_plot_line_2015_rep2,,,,,,
510,LUTHER HILL,1,24,2,51,10,99,1,1,2015,Wisconsin,15W510,Wi_plot_line_2015_rep2,,,,,,
511,Wu04819,1,24,2,51,9,99,1,1,2015,Wisconsin,15W511,Wi_plot_line_2015_rep2,,,,,,
512,M23,1,24,2,51,8,99,1,1,2015,Wisconsin,15W512,Wi_plot_line_2015_rep2,,,,,,
513,Wuh07413i,1,24,2,51,7,99,1,1,2015,Wisconsin,15W513,Wi_plot_line_2015_rep2,,,,,,
514,WVG3,1,24,2,51,6,99,1,1,2015,Wisconsin,15W514,Wi_plot_line_2015_rep2,,,,,,
515,Wuh09164i,1,24,2,51,5,99,1,1,2015,Wisconsin,15W515,Wi_plot_line_2015_rep2,,,,,,
516,Ia5125,1,24,2,51,4,99,1,1,2015,Wisconsin,15W516,Wi_plot_line_2015_rep2,,,,,,
