"","Position","Samples","Starch","Total.Polysaccharides","WSP","Glucose","Fructose","Sucrose","Total.Sugar","Variety","Edit"
"1","2119","15NY0247",-6.3622169,3.4157257,14.6839752,7.3357692,7.0177236,31.9538651,50.269249,"V775","Starch Nulled"
"2","1081","14W30518-1",-4.4642067,17.8829308,20.4851608,6.4463325,7.0560236,15.5384407,32.710495,"IL802b","Starch Zeroed"
"3","1141","14W30732-1",-4.3720474,17.5666428,22.9608612,6.9325819,6.4945698,14.7680626,31.4316711,"IL747b","Starch Zeroed"
"4","3164","15W3966",-4.2658997,30.319603,36.3842545,4.4722977,1.5159802,4.4492455,10.5643654,"P39Goodman-Buckler","Starch Nulled"
"5","1523","14W31549-1",-3.5861664,16.3649864,18.3765259,6.5257993,7.6643171,14.4116898,29.9476242,"Il677a","Starch Zeroed"
"6","1522","14W31549",-3.2429466,31.2460022,35.1006393,4.2087159,2.3819094,4.2266426,7.585247,"Il677a","Starch Zeroed"
"7","2506","15NY0857",-3.1746445,4.2287788,12.7999344,7.7366085,7.7872467,32.881012,52.0798531,"V775","Starch Nulled"
"8","1509","14W31527",-2.879425,29.1838188,33.9226151,3.3405886,2.40167,3.1062737,4.6798363,"IL778c","Starch Zeroed"
"9","892","14NY0830-2",-2.0735931,3.168869,9.08564,7.8060055,8.4419146,29.5237579,48.3681755,"V775","Starch Nulled"
"10","1623","14W31731-2",-2.0135231,22.2394142,25.2611465,4.9413767,4.3160505,12.3099556,22.5142632,"IL802b","Starch Zeroed"
"11","823","14NY0766",-1.979702,11.4513855,12.6443863,8.6451721,8.2983694,23.2534485,39.4818344,"Wuh07481i","Starch Zeroed"
"12","661","14NY0606",-1.804657,25.0265999,27.3358307,5.3811131,5.8110089,22.9210434,33.5462112,"IL731a","Starch Zeroed"
"13","1335","14W31128-1",-1.6189194,13.9617805,12.1435013,9.6374617,9.3552322,16.1633911,35.7288666,"Check1","Starch Nulled"
"14","1088","14W30528-1",-1.5312119,24.2004356,25.1714401,5.0387163,6.1230502,17.0429077,28.5503159,"IL778c","Starch Zeroed"
"15","2622","15W1336-45",-1.2741737,27.0761566,30.1536255,4.2630606,3.9700892,10.5642509,16.3099098,"Il677a","Starch Zeroed"
"16","1333","14W31126-1",-1.2011261,16.3827019,15.9999161,7.9295521,8.2085047,18.3210144,35.5143929,"We05408","Starch Nulled"
"17","785","14NY0723",-0.9671631,11.7827187,12.6865616,9.2834663,8.1368427,22.7872162,40.1331978,"Wuh09144i","Starch Zeroed"
"18","1163","14W30836-1",-0.9344597,12.5565491,11.0314255,9.7055206,9.3117638,16.2731667,37.0745468,"Check1","Starch Nulled"
"19","1960","14W32476",-0.8887939,32.1598663,33.8788834,3.7389987,3.4219706,5.8003235,10.4601879,"IL772a","Starch Zeroed"
"20","2894","15W3369",-0.8494644,13.0760689,12.0767975,9.5265598,9.5379343,28.7041168,47.3974724,"V775","Starch Zeroed"
