"","Position","Samples","Starch","Total.Polysaccharides","WSP","Glucose","Fructose","Sucrose","Total.Sugar","Inbred","Edit"
"1","389","14W31555-2",-4.3919125,5.5553284,2.9118676,9.2388906,8.2679749,23.2289848,41.6936722,"Wuh09144i","Starch Zeroed"
"2","305","14W30946-1",-3.3021765,5.9970036,2.7786021,9.0832644,8.2843533,23.6200142,41.9364471,"Wuh07183i","Starch Zeroed"
"3","447","14W32029-1",-3.2433522,5.4087257,3.6251664,9.1982422,8.253334,22.7510319,41.3449173,"Wuh09150i","Starch Zeroed"
"4","361","14W31432-1",-2.8403509,15.057024,0.096168,9.3555365,8.1854477,23.6111832,41.0309143,"Wh10046R","Starch Nulled"
"5","310","14W31062-1",-2.5680156,6.5016704,2.9334922,8.9455051,8.1259003,22.5896721,40.6740112,"Wuh09170i","Starch Zeroed"
"6","482","14W32144-1",-2.5223897,4.9865913,2.9697175,8.8801432,8.2842321,23.4074478,41.69244,"Wh09117R","Starch Zeroed"
"7","358","14W31357-2",-2.3849702,9.1548014,1.7899466,9.0719442,8.1877747,23.5832424,41.3918724,"Wh05032a","Starch Zeroed"
"8","336","14W31273-1",-2.2852988,5.8802185,2.6241407,8.7727833,8.0341959,23.156435,40.9075127,"R839","Starch Zeroed"
"9","497","14W32265-1",-2.0082355,10.9429226,1.2344973,9.0632715,8.1619978,23.7192001,41.2984848,"Wh05032a","Starch Zeroed"
"10","467","14W32077-1",-1.9651561,7.7145343,2.6346941,8.9438553,8.1047602,22.9241066,40.8140221,"Wuh07183i","Starch Zeroed"
"11","423","14W31866-1",-1.7881713,8.1609325,2.2706351,8.8418999,7.990067,22.7485981,40.3216629,"If853","Starch Zeroed"
"12","375","14W31513-1",-1.7678204,5.7250443,2.9447179,8.8329811,8.2315941,23.1902447,41.3365402,"Wh09117R","Starch Zeroed"
"13","471","14W32109-1",-1.5503063,8.2406693,2.5536222,8.8682117,8.0160999,22.5873013,40.2964134,"Wuh09150i","Starch Zeroed"
"14","386","14W31546-2",-1.5015149,5.6533465,2.8639326,8.6417589,8.0832634,23.0030727,40.8253098,"Wuh09170i","Starch Zeroed"
"15","368","14W31467-1",-1.3114796,12.8828831,0.734256,8.7941236,7.8362789,22.7162189,39.5523529,"Wh07013","Starch Zeroed"
"16","413","14W31726-2",-0.817297,5.7712069,3.3969536,8.7980671,8.1712246,22.9679394,41.0703964,"M6415","Starch Zeroed"
"17","435","14W31920-1",-0.5595937,7.475441,2.7148399,8.6298256,7.9694819,22.3354206,39.9098015,"Wh03031","Starch Zeroed"
"18","337","14W31277-1",-0.5151057,4.2066145,3.5088305,8.5165024,7.9333797,22.6602192,40.3195877,"34f","Starch Nulled"
"19","342","14W31313-1",-0.3248696,12.9306345,1.2219563,8.677269,7.6066108,21.5487175,38.1089325,"Wh09083","Starch Zeroed"
"20","335","14W31264-1",-0.0842018,6.9904041,3.0633712,8.5480404,7.7776222,22.0388508,39.3408966,"Wuh09149i","Starch Zeroed"
"21","398","14W31659-1",-0.0831137,7.9548464,3.0668316,8.6409054,7.8222575,21.7630234,39.2023773,"Wh07020a","Starch Zeroed"
