"","Position","Samples","Starch","Total.Polysaccharides","WSP","Glucose","Fructose","Sucrose","Total.Sugar","Inbred","Edit"
"1","1015","14W30518-1",-4.4642067,17.8829308,20.4851608,6.4463325,7.0560236,15.5384407,32.710495,"IL802b","Starch Zeroed"
"2","3106","14W31555-2",-4.3919125,5.5553284,2.9118676,9.2388906,8.2679749,23.2289848,41.6936722,"Wuh09144i","Starch Zeroed"
"3","1070","14W30732-1",-4.3720474,17.5666428,22.9608612,6.9325819,6.4945698,14.7680626,31.4316711,"IL747b","Starch Zeroed"
"4","1413","14W31549-1",-3.5861664,16.3649864,18.3765259,6.5257993,7.6643171,14.4116898,29.9476242,"Il677a","Starch Zeroed"
"5","3022","14W30946-1",-3.3021765,5.9970036,2.7786021,9.0832644,8.2843533,23.6200142,41.9364471,"Wuh07183i","Starch Zeroed"
"6","3164","14W32029-1",-3.2433522,5.4087257,3.6251664,9.1982422,8.253334,22.7510319,41.3449173,"Wuh09150i","Starch Zeroed"
"7","1412","14W31549",-3.2429466,31.2460022,35.1006393,4.2087159,2.3819094,4.2266426,7.585247,"Il677a","Starch Zeroed"
"8","1400","14W31527",-2.879425,29.1838188,33.9226151,3.3405886,2.40167,3.1062737,4.6798363,"IL778c","Starch Zeroed"
"9","3078","14W31432-1",-2.8403509,15.057024,0.096168,9.3555365,8.1854477,23.6111832,41.0309143,"Wh10046R","Starch Nulled"
"10","3027","14W31062-1",-2.5680156,6.5016704,2.9334922,8.9455051,8.1259003,22.5896721,40.6740112,"Wuh09170i","Starch Zeroed"
"11","3199","14W32144-1",-2.5223897,4.9865913,2.9697175,8.8801432,8.2842321,23.4074478,41.69244,"Wh09117R","Starch Zeroed"
"12","3075","14W31357-2",-2.3849702,9.1548014,1.7899466,9.0719442,8.1877747,23.5832424,41.3918724,"Wh05032a","Starch Zeroed"
"13","3053","14W31273-1",-2.2852988,5.8802185,2.6241407,8.7727833,8.0341959,23.156435,40.9075127,"R839","Starch Zeroed"
"14","1497","14W31731-2",-2.0135231,22.2394142,25.2611465,4.9413767,4.3160505,12.3099556,22.5142632,"IL802b","Starch Zeroed"
"15","3214","14W32265-1",-2.0082355,10.9429226,1.2344973,9.0632715,8.1619978,23.7192001,41.2984848,"Wh05032a","Starch Zeroed"
