"","QTN=0.3","QTN=0.2","QTN=0.1","QTN=0.05","QTN=0.02","QTN=0.01","QTN=0"
"0",0,0,0,0,0,0,0
"0.01",0.0094818828310193,0.0115137148662377,0.0165932949542838,0.0355570606163224,0.122925838130715,0.649847612597359,0.876058245851676
"0.05",0.0494412461903149,0.0653572637995259,0.0805960040636641,0.157128344056891,0.391804944124619,0.877751439214358,0.959363359295632
"0.1",0.0995597697257027,0.125296308838469,0.158821537419573,0.279715543515069,0.598374534371825,0.937351845580765,0.980358956992889
"0.2",0.199458178123942,0.236031154757873,0.284795123603115,0.452759905181172,0.822553335590924,0.971554351506942,0.994581781239418
"0.3",0.299356586522181,0.350829664747714,0.413477819166949,0.619370132069082,0.917033525228581,0.99153403318659,0.997968167964782
"0.4",0.399593633592956,0.458855401286827,0.530646799864545,0.766000677277345,0.962749746020996,0.996613613274636,0.999322722654927
"0.5",0.499492041991195,0.574669827294277,0.658652218083305,0.900101591601761,0.985438537080935,0.998984083982391,0.999661361327464
"0.6",0.599390450389435,0.679647815780562,0.758550626481544,0.957331527260413,0.9962749746021,0.999322722654927,0.999661361327464
"0.7",0.69962749746021,0.784964442939384,0.868269556383339,0.989502201151371,0.998984083982391,0.999661361327464,1
"0.8",0.799525905858449,0.888587876735523,0.969522519471724,0.998306806637318,0.999661361327464,1,1
"0.9",0.899424314256688,0.988147646461226,0.998306806637318,1,1,1,1
"1",0.999661361327464,1,1,1,1,1,1
