Date_Starch,Year,Location,Row_Num,Sample_ID,Tube,NIR_ID,extra_notes,Starch,Total_Poly,WSP
2020.2.5,,,starch,control,,,,72.33589252,71.13740933,-1.198483195
2020.2.5,14,NY,166,14NY0166,1,14NY0166-1,,1.606248199,3.980652492,2.374404293
2020.2.5,14,NY,258,14NY0258,2,14NY0258-2,,3.034490876,12.67181635,9.637325477
2020.2.5,14,NY,501,14NY0501,2,14NY0501-2,,2.45793016,16.14909075,13.69116058
2020.2.5,15,W,2737,15W2737,2,15W2737-2,Manually edited NIR_ID,10.22658763,35.00269775,24.77611012
2020.2.5,15,W,3205,15W3205,2,15W3205-2,,7.896149225,31.64122066,23.74507143
2020.2.5,15,W,3336,15W3336,2,15W3336-2,,2.721932371,31.83786365,29.11593128
2020.2.5,14,W,32119,14W32119,2,14W32119,Manually edited NIR_ID,14.28117049,38.2686577,23.98748721
2020.2.5,14,W,32479,14W32479,2,14W32479,Manually edited NIR_ID,15.24336063,24.72938043,9.486019804
2020.2.5,15,NY,484,15NY0484,,15NY0484,,3.16858191,19.83808397,16.66950206
2020.2.14,,,starch,control,,,,80.45213695,83.59672555,3.1445886
2020.2.14,14,NY,45,14NY0045,1,14NY0045-1,,12.1975963,20.56692867,8.36933237
2020.2.14,14,NY,399,14NY0399,1,14NY0399-1,,14.50097753,18.9280333,4.42705577
2020.2.14,14,NY,428,14NY0428,1,14NY0428-1,,13.50107282,32.97108549,19.47001267
2020.2.14,14,NY,444,14NY0444,2,14NY0444-2,,6.381091325,2.67687106,-3.704220265
2020.2.14,14,NY,501,14NY0501,1,14NY0501-1,,7.592385359,23.38394961,15.79156425
2020.2.14,14,NY,536,14NY0536,1,14NY0536-1,,11.42309341,28.15139193,16.72829852
2020.2.14,14,NY,537,14NY0537,2,14NY0537-2,,7.748654432,1.120629147,-6.628025285
2020.2.14,14,NY,568,14NY0568,1,14NY0568-1,,10.37566039,3.839806715,-6.535853677
2020.2.14,14,NY,746,14NY0746,1,14NY0746-1,,4.430535972,24.35801904,19.92748307
2020.2.14,14,NY,746,14NY0746,2,14NY0746-2,,1.948844046,25.16679776,23.21795371
2020.2.14,14,NY,767,14NY0767,2,14NY0767-2,,3.288159426,3.229442333,-0.058717093
2020.2.19,,,starch,control,,,,60.10982583,71.08206547,10.97223964
2020.2.19,14,NY,18,14NY0018,2,14NY0018-2,,8.380962189,28.30058951,19.91962733
2020.2.19,14,NY,97,14NY0097,1,14NY0097-1,,12.64888322,24.34355117,11.69466795
2020.2.19,14,NY,237,14NY0237,1,14NY0237-1,,14.67297795,29.53525167,14.86227372
2020.2.19,14,NY,262,14NY0262,1,14NY0262-1,,30.38036831,33.29403951,2.9136712
2020.2.19,14,NY,313,14NY0313,1,14NY0313-1,,12.2481276,5.010301963,-7.237825632
2020.2.19,14,NY,428,14NY0428,2,14NY0428-2,,12.08131683,32.82637587,20.74505904
2020.2.19,14,NY,535,14NY0535,1,14NY0535-1,,13.11540255,22.69309834,9.577695792
2020.2.19,14,NY,592,14NY0592,1,14NY0592-1,,15.18768697,32.69918047,17.51149351
2020.2.19,14,NY,846,14NY0846,2,14NY0846-2,,8.848968742,21.36036014,12.5113914
2020.2.19,15,W,2349,15W2349,,15W2349,,7.245564028,15.7417034,8.496139367
2020.2.19,15,W,2968,15W2968,,15W2968-1,Manually edited NIR_ID,10.09011093,2.854515891,-7.235595036
2020.2.26,,,starch,control,,,,77.44523448,75.62968299,-1.815551491
2020.2.26,14,NY,120,14NY0120,2,14NY0120-2,,22.24357941,26.30650224,4.062922827
2020.2.26,14,NY,238,14NY0238,1,14NY0238-1,,28.11312948,38.45594886,10.34281938
2020.2.26,14,NY,246,14NY0246,1,14NY0246-1,,11.62988148,41.38176644,29.75188496
2020.2.26,14,NY,410,14NY0410,1,14NY0410-1,,25.91216607,27.69381674,1.781650666
2020.2.26,14,NY,536,14NY0536,2,14NY0536-2,,17.32690689,16.25473465,-1.072172236
2020.2.26,14,NY,617,14NY0617,1,14NY0617-1,,25.89296458,32.52206725,6.629102674
2020.2.26,14,NY,617,14NY0617,2,14NY0617-2,,28.39825626,35.24634147,6.848085215
2020.2.26,15,W,2942,15W2942,1,15W2942-1,,40.30355476,36.50724955,-3.796305213
2020.2.26,14,W,30517,14W30517,1,14W30517-1,,22.89069053,32.89017726,9.999486732
2020.2.26,14,W,31051,14W31051,2,14W31051-2,,10.25824964,35.62798647,25.36973683
2020.2.26,14,W,32040,14W32040,1,14W32040-1,,15.75938802,28.23904131,12.47965329
2020.3.6,,,starch,control,,,,78.51117724,77.18803758,-1.323139655
2020.3.6,14,NY,120,14NY0120,1,14NY0120-1,,16.15839524,33.34396741,17.18557217
2020.3.6,14,NY,347,14NY0347,1,14NY0347-1,,18.23077068,31.89572023,13.66494955
2020.3.6,14,NY,413,14NY0413,1,14NY0413-1,,7.268304984,20.26876087,13.00045589
2020.3.6,14,NY,496,14NY0496,1,14NY0496-1,,25.2794747,36.26634701,10.98687231
2020.3.6,15,NY,533,15NY0533,,15NY0533,,11.86888302,30.13698768,18.26810466
2020.3.6,14,NY,609,14NY0609,1,14NY0609,Manually edited NIR_ID,22.39393441,14.68988956,-7.70404485
