
File Name:      C:\USERS\DUSTIN\DESKTOP\SWEETCORN\LILY\WSMDP2021GLSTPCRVAL.ANL  Predicted Value File
File Date:      Wed Jan 20 23:23:35 2021
Last Update:    Wed Jan 20 23:23:35 2021
File ID:        Exported from Mosaic            Master No:      <none>
Samples:        51              Deleted:        0
Constituents:   4               No. Data Points:        4200
Moisture Basis  Dry Matter
Samples of Total        51 of 51

"Position","Sample Number","Grouping by Num","Starch","Total_Poly","WSP",
1,"<none>", 1.1957211,-89.2440796,-88.9482880,-0.3657150,
2,"<none>", 1.1954830,-89.5465317,-88.8775635, 0.0058594,
3,"<none>", 1.1958305,-89.1652908,-89.0496826,-0.5427780,
4,"<none>", 1.1952939,-89.2385330,-88.4970093, 0.0770988,
5,"<none>", 1.1956738,-89.4508667,-88.5189362, 0.2707672,
6,"<none>", 1.1956742,-90.0971985,-89.1638794, 0.2670479,
7,"14NY0656-2", 1.2108353, 30.9169769, 34.9662399, 4.0100784,
8,"14NY0656-2", 1.2107947, 31.1305294, 35.1093140, 3.9415436,
9,"14NY0440-1", 1.2035621, 37.1280746, 42.9274559, 5.8422165,
10,"14NY0440-1", 1.2037328, 37.3577194, 43.2369347, 5.9260788,
11,"15W3032-2", 1.2098713, 14.1291466, 34.3066292, 20.2255287,
12,"15W3032-2", 1.2098603, 14.3494625, 34.6033249, 20.3050690,
13,"14NY0617-2", 1.2071615, 23.8448563, 25.5577812, 1.6893806,
14,"14NY0617-2", 1.2070928, 23.9780426, 25.8540840, 1.8538437,
15,"14NY0656-1", 1.2058216, 26.5260677, 27.6098862, 1.0384712,
16,"14NY656-1", 1.2058101, 26.8264542, 27.9373779, 1.0677719,
17,"14NY0656-1", 1.2057722, 26.6953392, 28.0791092, 1.3409920,
18,"15W2361-2", 1.2125465, 19.1451702, 30.1095390, 10.9870567,
19,"15W2361-2", 1.2124791, 19.3592911, 30.5434189, 11.2061195,
20,"14NY0444-1", 1.2024592, 13.6272888, 12.5103035,-1.1337357,
21,"14NY0444-1", 1.2024622, 13.9205666, 12.9217682,-1.0136490,
22,"14NY0444-1", 1.2024182, 13.4332094, 13.1316338,-0.3170547,
23,"15W2807-2", 1.2146261, 11.3030949, 32.5071411, 21.2178154,
24,"15W2807-2", 1.2146182, 11.2831974, 32.7132683, 21.4451180,
25,"15W2807-2", 1.2145407, 11.4903946, 32.8887291, 21.4150047,
26,"15W3205-2", 1.2145976, 18.9884949, 33.3010254, 14.3457985,
27,"15W3205-2", 1.2145541, 18.8422489, 33.6058121, 14.7971611,
28,"14NY0150-1", 1.2052258, 9.8349361, 7.6645126,-2.1668243,
29,"14NY0150-1", 1.2052259, 10.0723200, 7.9775524,-2.0927238,
30,"14W30927-1", 1.2168660, 27.7557678, 38.3240967, 10.5831795,
31,"14W30927-1", 1.2169222, 27.5451813, 38.3420105, 10.8143539,
32,"15W3146-2", 1.2003711, 9.0980988, 4.9377155,-4.1987000,
33,"15W3146-2", 1.2004118, 9.2985649, 5.1347008,-4.2013741,
34,"14NY0407-2", 1.2120671, 38.5997467, 37.6778336,-0.9195671,
35,"14NY0407-2", 1.2120010, 38.4959259, 38.0931587,-0.4015465,
36,"14NY0407-2", 1.2119758, 38.6490707, 38.3623543,-0.2854805,
37,"15W3610-18", 1.2043768, 10.9008770, 21.2018814, 10.1801949,
38,"15W3610-1", 1.2043511, 11.0052509, 21.4668427, 10.3415298,
39,"14NY0407-1", 1.2093384, 39.9669456, 37.2554588,-2.7104797,
40,"14NY0407-1", 1.2092729, 40.4348755, 37.7607155,-2.6752892,
41,"14NY0407-1", 1.2092164, 40.7060661, 38.1247063,-2.5791855,
42,"15W2610-2", 1.2004504, 11.5572519, 9.7063217,-1.8558960,
43,"15W2610-2", 1.2004589, 11.5222368, 9.9197426,-1.6044159,
44,"14NY0150-2", 1.2050421, 11.1849232, 9.1634064,-2.0183754,
45,"14NY0150-2", 1.2050265, 11.1859407, 9.4341545,-1.7470360,
46,"14NY0617-1", 1.2056570, 19.6534538, 26.6239777, 6.9631577,
47,"14NY0617-1", 1.2057334, 19.6325264, 26.8146400, 7.1796951,
48,"14NY0444-2", 1.2015468, 7.6529956, 11.7686043, 4.0623474,
49,"14NY0444-2", 1.2015855, 7.7021718, 11.9610519, 4.2068901,
50,"14NY0072-2", 1.2080388, 20.2833748, 30.6295929, 10.3247108,
51,"14NY0072-2", 1.2079802, 20.3608780, 30.9409332, 10.5618515,

                        "Minimum:",, 1.1952939,-90.0971985,-89.1638794,-4.2013741,
                        "Maximum:",, 1.2169222, 40.7060661, 43.2369347, 21.4451180,
                        "Mean:",, 1.2062439, 7.8555393, 12.5617914, 4.6208611,
                        "Std. Deviation:",, 0.0059741, 37.2506104, 38.9589996, 7.4269428,
                        "Total Values:",, 51.0000000, 51.0000000, 51.0000000, 51.0000000,
