
File Name:      C:\USERS\DUSTIN\DESKTOP\SWEETCORN\LILY\WSMDP2021GLSUPCR.ANL  Predicted Value File
File Date:      Wed Jan 20 23:26:21 2021
Last Update:    Wed Jan 20 23:26:21 2021
File ID:        Exported from Mosaic            Master No:      <none>
Samples:        51              Deleted:        0
Constituents:   5               No. Data Points:        4200
Moisture Basis  Dry Matter
Samples of Total        51 of 51

"Position","Sample Number","Grouping by Num","AveFructose","AveGlucose","AveSucrose","AveTotalSugar",
1,"<none>", 1.1465957, 28.3856621, 26.3368530, 126.7798996, 154.6276855,
2,"<none>", 1.1468552, 28.3947716, 26.4075375, 126.8707047, 154.5458832,
3,"<none>", 1.1464970, 28.4039879, 26.4366074, 126.7920990, 154.6268158,
4,"<none>", 1.1470628, 28.3641300, 26.3245583, 126.9896240, 154.6139221,
5,"<none>", 1.1467088, 28.3296928, 26.4572525, 127.3006363, 154.6780396,
6,"<none>", 1.1466633, 28.4087029, 26.5502872, 127.3179626, 154.6367188,
7,"14NY0656-2", 1.1349204, 4.8185997, 4.1728535, 5.2945747, 13.8050852,
8,"14NY0656-2", 1.1349643, 4.7851419, 4.1901989, 5.2527890, 13.7369680,
9,"14NY0440-1", 1.1403092, 3.7122250, 3.0849209, 5.5395808, 12.2412796,
10,"14NY0440-1", 1.1401521, 3.6250629, 3.0673342, 5.2526703, 11.7773609,
11,"15W3032-2", 1.1347359, 4.2337542, 4.0122480, 11.6449871, 19.4452896,
12,"15W3032-2", 1.1347493, 4.1767044, 3.9906235, 11.4114151, 19.1563320,
13,"14NY0617-2", 1.1356816, 5.7466488, 4.5681324, 9.1112795, 17.9102173,
14,"14NY0617-2", 1.1357484, 5.6889420, 4.5325146, 8.8638554, 17.5642853,
15,"14NY0656-1", 1.1375356, 5.9409437, 4.6931143, 7.3041282, 18.3607082,
16,"14NY656-1", 1.1375445, 5.8827801, 4.6740599, 7.0169339, 17.9446297,
17,"14NY0656-1", 1.1375748, 5.8464861, 4.6639519, 6.9091907, 17.7088299,
18,"15W2361-2", 1.1329403, 4.4351988, 4.2838888, 11.1233702, 18.0258560,
19,"15W2361-2", 1.1330059, 4.3690710, 4.2278223, 10.7514687, 17.5000191,
20,"14NY0444-1", 1.1366327, 7.5355740, 6.3573995, 21.9565468, 36.5169067,
21,"14NY0444-1", 1.1366383, 7.4595938, 6.3280921, 21.6645966, 36.0491104,
22,"14NY0444-1", 1.1367280, 7.3963890, 6.2776375, 21.2971439, 35.6369629,
23,"15W2807-2", 1.1313939, 4.4998331, 4.2455101, 10.4455433, 19.2206497,
24,"15W2807-2", 1.1313907, 4.4390774, 4.2347116, 10.1972933, 18.7922401,
25,"15W2807-2", 1.1314735, 4.4113235, 4.2281780, 10.0814266, 18.6581383,
26,"15W3205-2", 1.1322284, 4.2457581, 4.7152514, 10.8947878, 18.4382534,
27,"15W3205-2", 1.1322577, 4.1853323, 4.6575594, 10.7247725, 18.1310883,
28,"14NY0150-1", 1.1349078, 7.1742640, 5.7436132, 24.4111729, 37.4646454,
29,"14NY0150-1", 1.1349028, 7.1322737, 5.7009864, 24.1548977, 37.0361404,
30,"14W30927-1", 1.1306964, 3.9074640, 3.9522867, 7.3163719, 15.0628967,
31,"14W30927-1", 1.1306211, 3.8652620, 3.9541721, 7.1371059, 14.8591995,
32,"15W3146-2", 1.1375166, 7.8170910, 6.6527724, 29.4311810, 43.7983093,
33,"15W3146-2", 1.1374805, 7.7755957, 6.6259446, 29.1701450, 43.4770432,
34,"14NY0407-2", 1.1325076, 4.7080183, 3.8903351, 6.5412889, 16.2140198,
35,"14NY0407-2", 1.1326050, 4.6386576, 3.8356352, 6.1446600, 15.6506138,
36,"14NY0407-2", 1.1326222, 4.5859203, 3.7977448, 5.9251714, 15.2675877,
37,"15W3610-18", 1.1380953, 6.9309702, 4.2989788, 6.7491150, 19.4445190,
38,"15W3610-1", 1.1380973, 6.8645306, 4.2972736, 6.5847282, 19.1459122,
39,"14NY0407-1", 1.1343708, 4.9529266, 4.0011063, 5.2722344, 15.4456005,
40,"14NY0407-1", 1.1344464, 4.8801346, 3.9510670, 4.9110866, 14.8726501,
41,"14NY0407-1", 1.1345092, 4.8165531, 3.9438915, 4.7267098, 14.5586157,
42,"15W2610-2", 1.1407325, 6.7506571, 6.1072721, 22.5786953, 33.2207489,
43,"15W2610-2", 1.1407228, 6.6947107, 6.0891080, 22.3403835, 32.9209633,
44,"14NY0150-2", 1.1351552, 6.9304543, 5.6109138, 24.0398731, 36.5238647,
45,"14NY0150-2", 1.1351701, 6.8838987, 5.5652051, 23.7738876, 36.1719055,
46,"14NY0617-1", 1.1371161, 5.4957237, 4.4686022, 9.7170868, 18.1371346,
47,"14NY0617-1", 1.1370568, 5.4420443, 4.4619589, 9.5495157, 17.9216995,
48,"14NY0444-2", 1.1385045, 7.4673643, 5.7368340, 19.8504505, 33.6585350,
49,"14NY0444-2", 1.1384594, 7.4142532, 5.7093663, 19.6074982, 33.2841835,
50,"14NY0072-2", 1.1357720, 4.8580971, 3.9755859, 9.0351524, 16.2236176,
51,"14NY0072-2", 1.1358267, 4.7855406, 3.9264555, 8.7768393, 15.8667717,

                        "Minimum:",, 1.1306211, 3.6250629, 3.0673342, 4.7267098, 11.7773609,
                        "Maximum:",, 1.1470628, 28.4087029, 26.5502872, 127.3179626, 154.6780396,
                        "Mean:",, 1.1368016, 8.2449760, 7.2552199, 25.9320488, 38.0505180,
                        "Std. Deviation:",, 0.0044582, 7.5274367, 7.1228786, 37.9289207, 43.8907585,
                        "Total Values:",, 51.0000000, 51.0000000, 51.0000000, 51.0000000, 51.0000000,
