
File Name:      C:\USERS\DUSTIN\DESKTOP\SWEETCORN\LILY\WSMDP2021SH2STPCRVAL.ANL  Predicted Value File
File Date:      Wed Jan 20 23:33:09 2021
Last Update:    Wed Jan 20 23:33:09 2021
File ID:        Exported from Mosaic            Master No:      <none>
Samples:        51              Deleted:        0
Constituents:   3               No. Data Points:        4200
Moisture Basis  Dry Matter
Samples of Total        51 of 51

"Position","Sample Number","Starch","Total_Poly","WSP",
1,"<none>", 10.1864071, 8.9480028,-1.2384037,
2,"<none>", 10.1890259, 8.9611845,-1.2278408,
3,"<none>", 10.1853561, 8.9427128,-1.2426435,
4,"<none>", 10.1910572, 8.9714127,-1.2196441,
5,"<none>", 10.1873255, 8.9526262,-1.2346990,
6,"<none>", 10.1872978, 8.9524860,-1.2348112,
7,"14NY0656-2", 10.0649090, 8.3363628,-1.7285457,
8,"14NY0656-2", 10.0654650, 8.3391619,-1.7263026,
9,"14NY0440-1", 10.1361771, 8.6951389,-1.4410381,
10,"14NY0440-1", 10.1344929, 8.6866570,-1.4478356,
11,"15W3032-2", 10.0736313, 8.3802729,-1.6933582,
12,"15W3032-2", 10.0737514, 8.3808784,-1.6928722,
13,"14NY0617-2", 10.0977707, 8.5017929,-1.5959769,
14,"14NY0617-2", 10.0984964, 8.5054445,-1.5930510,
15,"14NY0656-1", 10.1119232, 8.5730381,-1.5388844,
16,"14NY656-1", 10.1121740, 8.5743017,-1.5378720,
17,"14NY0656-1", 10.1127253, 8.5770779,-1.5356473,
18,"15W2361-2", 10.0462694, 8.2425289,-1.8037395,
19,"15W2361-2", 10.0470104, 8.2462568,-1.8007523,
20,"14NY0444-1", 10.1618547, 8.8244019,-1.3374525,
21,"14NY0444-1", 10.1618681, 8.8244696,-1.3373981,
22,"14NY0444-1", 10.1624660, 8.8274784,-1.3349870,
23,"15W2807-2", 10.0323534, 8.1724730,-1.8598797,
24,"15W2807-2", 10.0324602, 8.1730137,-1.8594468,
25,"15W2807-2", 10.0333071, 8.1772747,-1.8560319,
26,"15W3205-2", 10.0366488, 8.1940975,-1.8425515,
27,"15W3205-2", 10.0372086, 8.1969137,-1.8402941,
28,"14NY0150-1", 10.1568050, 8.7989807,-1.3578240,
29,"14NY0150-1", 10.1568022, 8.7989655,-1.3578365,
30,"14W30927-1", 10.0145063, 8.0826302,-1.9318756,
31,"14W30927-1", 10.0138979, 8.0795641,-1.9343334,
32,"15W3146-2", 10.2088108, 9.0607843,-1.1480255,
33,"15W3146-2", 10.2083101, 9.0582657,-1.1500438,
34,"14NY0407-2", 10.0515347, 8.2690363,-1.7824985,
35,"14NY0407-2", 10.0522594, 8.2726822,-1.7795767,
36,"14NY0407-2", 10.0525932, 8.2743645,-1.7782288,
37,"15W3610-18", 10.1381683, 8.7051611,-1.4330070,
38,"15W3610-1", 10.1384983, 8.7068214,-1.4316761,
39,"14NY0407-1", 10.0724335, 8.3742447,-1.6981895,
40,"14NY0407-1", 10.0731449, 8.3778248,-1.6953197,
41,"14NY0407-1", 10.0739212, 8.3817301,-1.6921904,
42,"15W2610-2", 10.1878767, 8.9553995,-1.2324768,
43,"15W2610-2", 10.1877728, 8.9548759,-1.2328957,
44,"14NY0150-2", 10.1551695, 8.7907457,-1.3644223,
45,"14NY0150-2", 10.1552944, 8.7913780,-1.3639162,
46,"14NY0617-1", 10.1152430, 8.5897522,-1.5254906,
47,"14NY0617-1", 10.1145458, 8.5862436,-1.5283023,
48,"14NY0444-2", 10.1770067, 8.9006805,-1.2763261,
49,"14NY0444-2", 10.1766157, 8.8987122,-1.2779034,
50,"14NY0072-2", 10.0978823, 8.5023546,-1.5955271,
51,"14NY0072-2", 10.0985279, 8.5056057,-1.5929215,

                        "Minimum:",, 10.0138979, 8.0795641,-1.9343334,
                        "Maximum:",, 10.2088108, 9.0607843,-1.1480255,
                        "Mean:",, 10.1144524, 8.5857697,-1.5286818,
                        "Std. Deviation:",, 0.0585872, 0.2949364, 0.2363493,
                        "Total Values:",, 51.0000000, 51.0000000, 51.0000000,
