
File Name:      C:\USERS\DUSTIN\DESKTOP\SWEETCORN\LILY\WSMDP2021SH2STPLSVAL.ANL  Predicted Value File
File Date:      Wed Jan 20 23:34:10 2021
Last Update:    Wed Jan 20 23:34:10 2021
File ID:        Exported from Mosaic            Master No:      <none>
Samples:        51              Deleted:        0
Constituents:   6               No. Data Points:        4200
Moisture Basis  Dry Matter
Samples of Total        51 of 51

"Position","Sample Number","Starch","Total_Poly2","WSP2","Starch2","Total_Poly","WSP",
1,"<none>", 18.8434258, 17.2432194, 3.6949923, 18.8434258, 17.2432194, 3.6949923,
2,"<none>", 19.0982170, 17.4208431, 3.8090169, 19.0982170, 17.4208431, 3.8090169,
3,"<none>", 18.7770882, 17.2121983, 3.6671991, 18.7770882, 17.2121983, 3.6671991,
4,"<none>", 19.2701530, 17.5200443, 3.8757577, 19.2701530, 17.5200443, 3.8757577,
5,"<none>", 18.9870071, 17.3753738, 3.7782407, 18.9870071, 17.3753738, 3.7782407,
6,"<none>", 18.9712429, 17.3504944, 3.7566285, 18.9712429, 17.3504944, 3.7566285,
7,"14NY0656-2", 9.4788179, 12.1912432, 0.4703635, 9.4788179, 12.1912432, 0.4703635,
8,"14NY0656-2", 9.5271568, 12.2252874, 0.4933935, 9.5271568, 12.2252874, 0.4933935,
9,"14NY0440-1", 13.4353132, 13.0212164, 0.9568383, 13.4353132, 13.0212164, 0.9568383,
10,"14NY0440-1", 13.3078279, 12.9480724, 0.9042165, 13.3078279, 12.9480724, 0.9042165,
11,"15W3032-2", 8.8814735, 10.7533236,-0.5745425, 8.8814735, 10.7533236,-0.5745425,
12,"15W3032-2", 8.8930035, 10.7636404,-0.5667143, 8.8930035, 10.7636404,-0.5667143,
13,"14NY0617-2", 9.0001097, 9.6827183,-1.2157919, 9.0001097, 9.6827183,-1.2157919,
14,"14NY0617-2", 9.0615540, 9.7185545,-1.1931572, 9.0615540, 9.7185545,-1.1931572,
15,"14NY0656-1", 10.9222794, 11.4361391,-0.0007714, 10.9222794, 11.4361391,-0.0007714,
16,"14NY656-1", 10.9335651, 11.4385414, 0.0007774, 10.9335651, 11.4385414, 0.0007774,
17,"14NY0656-1", 10.9664688, 11.4551821, 0.0140110, 10.9664688, 11.4551821, 0.0140110,
18,"15W2361-2", 7.6310806, 10.6545172,-0.6759424, 7.6310806, 10.6545172,-0.6759424,
19,"15W2361-2", 7.6847868, 10.6844902,-0.6537389, 7.6847868, 10.6844902,-0.6537389,
20,"14NY0444-1", 9.1232300, 6.7073483,-3.0308177, 9.1232300, 6.7073483,-3.0308177,
21,"14NY0444-1", 9.1314335, 6.7166853,-3.0254426, 9.1314335, 6.7166853,-3.0254426,
22,"14NY0444-1", 9.2412634, 6.8333254,-2.9433892, 9.2412634, 6.8333254,-2.9433892,
23,"15W2807-2", 6.6058040, 10.6626816,-0.4096370, 6.6058040, 10.6626816,-0.4096370,
24,"15W2807-2", 6.6115537, 10.6612196,-0.4133722, 6.6115537, 10.6612196,-0.4133722,
25,"15W2807-2", 6.6883988, 10.7157459,-0.3755644, 6.6883988, 10.7157459,-0.3755644,
26,"15W3205-2", 7.8838558, 12.0272675, 0.4401772, 7.8838558, 12.0272675, 0.4401772,
27,"15W3205-2", 7.9032898, 12.0228224, 0.4390728, 7.9032898, 12.0228224, 0.4390728,
28,"14NY0150-1", 8.6807890, 7.1406651,-2.4502306, 8.6807890, 7.1406651,-2.4502306,
29,"14NY0150-1", 8.6683378, 7.1211934,-2.4639349, 8.6683378, 7.1211934,-2.4639349,
30,"14W30927-1", 6.4961214, 11.6509209, 0.2985637, 6.4961214, 11.6509209, 0.2985637,
31,"14W30927-1", 6.4380589, 11.6101761, 0.2696396, 6.4380589, 11.6101761, 0.2696396,
32,"15W3146-2", 10.4420071, 6.3135824,-3.0966482, 10.4420071, 6.3135824,-3.0966482,
33,"15W3146-2", 10.4131241, 6.3017592,-3.1059709, 10.4131241, 6.3017592,-3.1059709,
34,"14NY0407-2", 6.7264800, 9.3500080,-1.4286580, 6.7264800, 9.3500080,-1.4286580,
35,"14NY0407-2", 6.8228836, 9.4394054,-1.3654251, 6.8228836, 9.4394054,-1.3654251,
36,"14NY0407-2", 6.8337150, 9.4317417,-1.3713415, 6.8337150, 9.4317417,-1.3713415,
37,"15W3610-18", 11.3092213, 11.2021799, 0.2004929, 11.3092213, 11.2021799, 0.2004929,
38,"15W3610-1", 11.3119431, 11.1835575, 0.1850939, 11.3119431, 11.1835575, 0.1850939,
39,"14NY0407-1", 7.9202967, 9.5537357,-1.3492205, 7.9202967, 9.5537357,-1.3492205,
40,"14NY0407-1", 7.9912453, 9.5968342,-1.3236301, 7.9912453, 9.5968342,-1.3236301,
41,"14NY0407-1", 8.0572729, 9.6429443,-1.2920702, 8.0572729, 9.6429443,-1.2920702,
42,"15W2610-2", 13.9731913, 11.4466038, 0.0817236, 13.9731913, 11.4466038, 0.0817236,
43,"15W2610-2", 13.9696331, 11.4498653, 0.0841348, 13.9696331, 11.4498653, 0.0841348,
44,"14NY0150-2", 8.8199520, 7.1829596,-2.5242000, 8.8199520, 7.1829596,-2.5242000,
45,"14NY0150-2", 8.8269253, 7.1869330,-2.5198281, 8.8269253, 7.1869330,-2.5198281,
46,"14NY0617-1", 10.3703823, 10.5362625,-0.6125947, 10.3703823, 10.5362625,-0.6125947,
47,"14NY0617-1", 10.3330479, 10.5317793,-0.6150640, 10.3330479, 10.5317793,-0.6150640,
48,"14NY0444-2", 11.3062382, 8.9196777,-1.4263752, 11.3062382, 8.9196777,-1.4263752,
49,"14NY0444-2", 11.2686424, 8.8922844,-1.4456091, 11.2686424, 8.8922844,-1.4456091,
50,"14NY0072-2", 9.5966377, 10.7271662,-0.3864153, 9.5966377, 10.7271662,-0.3864153,
51,"14NY0072-2", 9.6439123, 10.7527695,-0.3687559, 9.6439123, 10.7527695,-0.3687559,

                        "Minimum:",, 6.4380589, 6.3017592,-3.1059709, 6.4380589, 6.3017592,-3.1059709,
                        "Maximum:",, 19.2701530, 17.5200443, 3.8757577, 19.2701530, 17.5200443, 3.8757577,
                        "Mean:",, 10.4525385, 10.8746510,-0.3295004, 10.4525385, 10.8746510,-0.3295004,
                        "Std. Deviation:",, 3.6724455, 2.9676459, 1.8679354, 3.6724455, 2.9676459, 1.8679354,
