
File Name:      C:\USERS\DUSTIN\DESKTOP\SWEETCORN\LILY\WSMDP2021SH2SUMODPLSALL.ANL  Predicted Value File
File Date:      Thu Jan 21 00:01:48 2021
Last Update:    Thu Jan 21 00:01:48 2021
File ID:        Exported from Mosaic            Master No:      <none>
Samples:        4465            Deleted:        0
Constituents:   4               No. Data Points:        4200
Moisture Basis  Dry Matter
Samples of Total        4465 of 4465

"Position","Sample Number","AveFructose","AveGlucose","AveSucrose","AveTotalSugar",
1,"14W32448-1", 8.7390242, 8.5566254, 19.9743614, 27.6619720,
2,"14W32138-1", 8.8726540, 8.5658998, 20.2673664, 20.0919495,
3,"14W31477-1", 8.7041178, 8.4505148, 20.4939194, 26.8056564,
4,"14W32469-1", 8.7308750, 8.6072607, 19.9393597, 30.2201538,
5,"14W31545-2", 8.7404881, 8.3826771, 20.4984093, 18.4564667,
6,"14W31557-1", 8.9444046, 8.8203106, 19.2673454, 24.6165161,
7,"14W32251-1", 8.5149641, 8.1481028, 21.6229191, 25.3577652,
8,"13W31279-1", 8.8201351, 8.5745745, 20.2801456, 31.7753601,
9,"14W31315-1", 8.5451841, 8.2836161, 20.4942703, 29.7644577,
10,"14W31911-1", 8.9828043, 8.7403393, 19.8749352, 28.0859222,
11,"14W314550-1", 9.0045233, 8.6890354, 20.2412796, 28.4539566,
12,"14W31741-2", 8.8495760, 8.5780983, 20.1459923, 20.8853531,
13,"14W31712-1", 8.8295555, 8.5948887, 20.0767384, 24.2251129,
14,"14W30726-1", 8.8565397, 8.5913181, 20.0481834, 22.5835342,
15,"14W32105-1", 9.0060081, 8.7317514, 19.9598770, 27.2382584,
16,"14W31852-1", 8.5437241, 8.3311052, 20.6201668, 36.0844803,
17,"14NY0526-2", 8.4277830, 8.1117849, 22.2501144, 40.3043747,
18,"14W31832-1", 8.8122663, 8.4401951, 20.5859451, 30.8861237,
19,"14W30915-1", 8.8765211, 8.5558434, 20.2341137, 29.8018799,
20,"14W31933-1", 8.7999620, 8.6086979, 19.8451138, 24.7386627,
21,"14W31119-1", 8.9695292, 8.6999016, 19.9890633, 26.0777817,
22,"14W32031-1", 8.8215303, 8.4912977, 20.2818966, 17.7962112,
23,"14W31510-1", 8.9729462, 8.6315594, 20.5836506, 28.2226868,
24,"14W32070-1", 8.7828350, 8.5440588, 20.1815758, 26.7988663,
25,"14W31435-1", 8.9371367, 8.7513161, 19.8010406, 28.9364548,
26,"14W31114-1", 8.9354763, 8.6388340, 20.5277500, 30.0528870,
27,"14W31713-1", 8.8127775, 8.5103559, 20.4172649, 31.3580780,
28,"14W31237-1", 8.8672304, 8.6241961, 20.1027164, 30.9587402,
29,"14NY0461-1", 7.8897748, 7.4716244, 22.6646347, 24.0049667,
30,"14W32473-1", 8.9056597, 8.5944700, 20.5199890, 26.9323273,
31,"14W32149-1", 8.7636414, 8.5485268, 19.9904232, 29.2760468,
32,"14W30926-2", 8.9361582, 8.7495270, 19.3405037, 23.5806961,
33,"14W30841-1", 8.8455763, 8.6088476, 19.6410160, 17.2665024,
34,"14W30744-1", 8.7964373, 8.6474686, 20.1782322, 28.5957413,
35,"14W31130-1", 8.7568865, 8.7004261, 19.0656166, 22.9403534,
