
File Name:      C:\USERS\DUSTIN\DESKTOP\SWEETCORN\LILY\WSMDP2021SU1STMODPLSALL.ANL  Predicted Value File
File Date:      Wed Jan 20 23:52:15 2021
Last Update:    Wed Jan 20 23:52:15 2021
File ID:        Exported from Mosaic            Master No:      <none>
Samples:        4793            Deleted:        0
Constituents:   3               No. Data Points:        4200
Moisture Basis  Dry Matter
Samples of Total        4793 of 4793

"Position","Sample Number","Starch","Total_Poly","WSP",
1,"14W32026-1", 11.1960564, 20.0159969, 4.3090973,
2,"14W31518-1", 15.9096489, 29.9346848, 11.0215912,
3,"14W30506-1", 9.0904236, 37.6016083, 25.2830963,
4,"14W31905-1", 9.7417030, 30.5659981, 17.9423294,
5,"14W31473-1", 6.5078239, 22.7359200, 11.8403015,
6,"14W31549-1", 3.3504677, 27.2078819, 16.9481583,
7,"14W31321-1", 9.7253456, 17.9958706, 5.6491470,
8,"14W31133-2", 33.5819016, 42.2145996, 11.6950455,
9,"14W31074-1", 25.8247337, 30.0472870, 3.0828781,
10,"14W30913-1", 14.5784225, 30.0239639, 12.5773010,
11,"14W31134-1", 15.7598190, 32.9548607, 14.4982300,
12,"14W31652-1", 19.7509956, 36.5375175, 15.5470657,
13,"14W31861-1", 11.8928795, 23.8403168, 7.4960022,
14,"14W32340-1", 12.5901184, 33.3978577, 16.4482498,
15,"14W30939-1", 12.7374115, 33.7379799, 16.7138290,
16,"14W32101-1", 15.8010826, 25.2356949, 10.1408844,
17,"14W32139-1", 11.4183617, 29.3357239, 16.6310730,
18,"14W30327-1", 9.3970451, 30.6630020, 17.0218048,
19,"14W30325-1", 12.0163231, 31.6698494, 16.7254028,
20,"14W30528-1", 3.4923592, 30.6068802, 22.4812088,
21,"14W31063-1", 8.6520424, 32.0090218, 23.1592255,
22,"14W32351-1", 14.7689819, 32.2598152, 15.3827133,
23,"14W30744-2", 24.0828171, 32.7807541, 5.3624496,
24,"14W31720-1", 16.2370796, 32.1680717, 17.5055466,
25,"14W31921-1", 16.0099716, 31.0703926, 11.9075089,
26,"14W31903-1", 10.9031525, 23.4541874, 9.6195755,
27,"14W31106-1", 15.4636536, 30.4030495, 14.4766083,
28,"14W32025-1", 16.6704216, 39.9469147, 19.6239853,
29,"14W31520-1", 19.8951187, 35.4335098, 18.0890961,
30,"14W31751-1", 16.4854469, 38.1870270, 18.2290344,
31,"14W32429-1", 15.0630913, 23.7549915, 1.8582916,
32,"14W32468-1", 14.8828049, 28.0174026, 11.7011871,
33,"14W31129-1", 17.2265854, 36.9689178, 15.7196960,
34,"14W30533-1", 15.6866684, 27.1530724, 10.2710800,
35,"14W32245-1", 33.0093613, 43.5824814, 9.5851898,
36,"14W31714-1", 11.1477890, 31.7633972, 21.2254868,
37,"14W32357-1", 13.8613091, 30.3489189, 16.8476563,
38,"14W31070-1", 20.4767151, 34.6136703, 13.9471588,
39,"14W30676-2", 14.3667221, 29.9010162, 13.2495575,
40,"14W31634-1", 20.0760498, 35.6620407, 17.1254120,
41,"14W31462-1", 12.7419777, 33.2176476, 18.4526596,
42,"14W30459-1", 15.3309555, 30.9113808, 13.0329437,
43,"14W31725-1", 13.2840538, 32.4497910, 16.4317017,
44,"14W31873-1", 12.9893646, 32.8491631, 18.9133301,
45,"14W31109-1", 14.8740120, 33.3537636, 18.5258026,
46,"14W31304-1", 17.8672600, 34.0751648, 15.8469162,
47,"14W31709-1", 10.5672455, 32.3984070, 16.1376419,
48,"14W31240-1", 23.7370605, 33.4184685, 6.9280701,
49,"14W30844-1", 18.4991074, 27.3202400, 9.4479980,
50,"14W30740-1", 10.6194191, 32.0834694, 16.0036011,
51,"14W31050-1", 14.8463745, 35.7275734, 17.4645157,
52,"14W31867-1", 19.7377319, 35.4119301, 15.4866638,
53,"14W31116-1", 6.9784012, 31.0206985, 21.0397873,
54,"14W31645-1", 20.9948387, 35.0850372, 13.9158707,
55,"14W30706-1", 8.1876106, 33.8581161, 22.7498169,
56,"14W31246-1", 22.6700974, 31.9764786, 11.0390167,
57,"14W31848-1", 12.9602394, 30.7529602, 13.8451996,
58,"14W30474-1", 13.7863388, 31.7381516, 13.7108765,
59,"14W32263-1", 10.1914749, 32.6571388, 19.7160797,
60,"14W31922-1", 20.4994736, 36.8584328, 15.2762146,
61,"14W31318-1", 20.0025139, 34.3480835, 14.3550949,
62,"14W32426-1", 18.1879234, 37.4447746, 17.6108704,
63,"14W31330-1", 17.2306061, 27.0534019, 9.1479034,
64,"14W30835-1", 21.3404350, 34.4284821, 8.0388641,
65,"14W32315-1", 11.4120979, 37.4799576, 23.0148239,
66,"14W31874-1", 16.4508934, 32.2792206, 15.6771698,
67,"14W32465-1", 21.8093605, 34.9236259, 11.4121017,
68,"14W31108-1", 18.6328278, 26.7391777, 7.1478119,
69,"14W31511-1", 18.9825249, 35.2202835, 14.9842377,
70,"14W31950-1", 16.5496178, 32.1138916, 13.3542709,
71,"14W30840-2", 40.3705444, 38.3811531, 1.6672516,
72,"14W30516-1", 22.0225754, 32.8441925, 9.3179398,
73,"14W31118-1", 5.7693748, 15.7568836, 4.0951767,
74,"14W32230-1", 3.8037071, 31.1583328, 20.7728043,
75,"14W31624-1", 17.3745804, 39.9980583, 12.7276611,
76,"14W31328-1", 18.6291771, 34.7773514, 13.6972733,
77,"14W31459-1", 18.3775902, 30.1652870, 9.4481583,
78,"14W30463-1", 15.2287598, 30.2301407, 13.1722336,
79,"14W31459-1", 18.3664322, 30.1114120, 9.4853134,
80,"14W31848-2", 13.2511673, 27.8964500, 10.1429214,
81,"14W31036-1", 10.7426376, 27.3894272, 13.4852066,
82,"14W31743-1", 10.8110771, 35.0488472, 24.0149002,
83,"14W30678-1", 21.7976990, 35.6421585, 11.8760071,
84,"14W30447-1", 8.5784874, 29.7857857, 15.8087769,
85,"14W31334-1", 14.0914307, 36.0781746, 20.0620422,
86,"14W30511-1", 16.5820007, 33.9961357, 15.4679337,
87,"14W31072-1", 12.4579048, 27.4641342, 12.6778717,
88,"14W30879-1", 8.3982697, 32.9240913, 21.0001678,
89,"14W30508-1", 13.5344772, 32.5339851, 16.0489502,
90,"14W32437-1", 16.4040451, 29.1226082, 9.1443939,
91,"14W32232-1", 14.6406021, 30.8834381, 13.4496155,
92,"14W30730-2", 19.0051689, 28.9316864, 11.3082047,
93,"14W30841-2", 23.5763969, 26.8624573, 0.7971039,
94,"14W32262-1", 8.3375549, 31.2575073, 21.4753113,
95,"14W31904-1", 9.4468117, 23.1545525, 9.0007553,
96,"14W30944-1", 17.9010391, 31.5919380, 12.4962845,
97,"14W31869-1", 15.8284874, 32.7378159, 14.0562668,
98,"14W31835-1", 11.9535103, 34.2205696, 15.4438324,
99,"14W30919-1", 11.2663155, 31.6712036, 17.5758286,
100,"14W30707-1", 16.0734673, 36.1144524, 17.0589142,
101,"14W32428-1", 8.3772888, 12.2674179,-2.8364258,
102,"14W30523-1", 32.6846504, 33.9481773, 0.7353516,
103,"14W31303-1", 13.9700584, 32.9905548, 14.8757553,
104,"14W30727-1", 18.8263741, 33.7039185, 12.5439835,
105,"14W31263-1", 6.8820305, 29.5756950, 19.2262726,
106,"14W31425-1", 16.9974022, 38.7683105, 20.0935974,
107,"14W30672-1", 17.0696144, 33.3374290, 13.2824860,
108,"14W30922-1", 11.8352242, 30.9018517, 19.0844116,
109,"14W30729-1", 26.9226952, 33.4147072, 7.0796585,
110,"14W31515-1", 19.9637871, 31.9347229, 10.8182983,
111,"13W30702-1", 16.6098251, 37.6847420, 17.0607986,
112,"14W31902-1", 12.4470596, 34.6115913, 20.9992065,
113,"14W31872-1", 11.7689781, 13.9711208,-0.4240799,
114,"14W30534-1", 9.2338409, 28.2287827, 14.5334625,
115,"14W31266-1", 15.0338707, 33.7873955, 19.8443375,
116,"14W31710-1", 5.8372307, 16.9725552, 4.9385223,
117,"14W30514-1", 35.2226219, 35.9278717,-0.5801239,
118,"14W31243-1", 5.8947296, 31.9696465, 19.9278412,
119,"14W30524-1", 11.2438850, 30.3193893, 16.4795227,
120,"14W31078-1", 14.8458557, 28.3770981, 11.4379730,
121,"14W30649-1", 4.5938377, 23.1930141, 13.3113937,
122,"14W30650-1", 12.4463120, 31.4392128, 15.7568207,
123,"14W30705-1", 11.3993111, 34.2213745, 19.3057861,
124,"14W32276-1", 18.9794388, 32.6282349, 10.3231201,
125,"14W31702-1", 14.3786125, 20.7422161, 3.6843262,
126,"14W31466-1", 9.6523094, 32.2759247, 17.9235916,
127,"13W30851-1", 28.9230309, 38.8645287, 11.8414078,
128,"14W31111-1", 16.0795441, 30.4940033, 14.4149551,
129,"14W30532-1", 18.1176109, 33.3035431, 12.6355057,
130,"14W31464-1", 17.7479362, 28.4838066, 9.2076797,
131,"14W31058-1", 15.2011375, 34.0093536, 17.2186432,
132,"14W30667-1", 11.1616364, 34.4600410, 20.2131729,
133,"14W32353-1", 15.1238365, 31.8820992, 16.0691071,
134,"14W32328-1", 14.5152779, 35.0620193, 17.7051239,
135,"14W31332-1", 12.8700256, 39.2626076, 19.6612701,
136,"13W30704-1", 28.8198090, 41.7181435, 10.3833237,
137,"14W30668-1", 9.9521179, 35.3994522, 21.4561462,
138,"14W31234-1", 11.5858269, 30.2615509, 13.6283264,
139,"14W31516-1", 16.9822731, 30.3393135, 12.2089691,
140,"14W30918-1", 12.6773109, 32.6732101, 17.2170181,
141,"14W30719-1", 12.9081726, 34.5056763, 19.2288132,
