
File Name:      C:\USERS\DUSTIN\DESKTOP\SWEETCORN\LILY\WSMDP2021SU1STMODPLSVAL.ANL  Predicted Value File
File Date:      Wed Jan 20 23:39:01 2021
Last Update:    Wed Jan 20 23:39:01 2021
File ID:        Exported from Mosaic            Master No:      <none>
Samples:        51              Deleted:        0
Constituents:   3               No. Data Points:        4200
Moisture Basis  Dry Matter
Samples of Total        51 of 51

"Position","Sample Number","Starch","Total_Poly","WSP",
1,"<none>",-5.2239075,-169.7239685,-175.3773499,
2,"<none>",-5.6097260,-169.5028687,-174.8420715,
3,"<none>",-5.2623444,-169.4429169,-175.0780029,
4,"<none>",-5.6637268,-170.0343170,-175.4692078,
5,"<none>",-5.7279510,-169.9165192,-175.0933838,
6,"<none>",-5.7872086,-169.6329651,-174.8273773,
7,"14NY0656-2", 33.4694862, 34.9858093, 0.1138611,
8,"14NY0656-2", 33.6656113, 35.0098000,-0.0508423,
9,"14NY0440-1", 37.5921631, 45.3180504, 7.0904007,
10,"14NY0440-1", 37.7943382, 45.4527893, 7.1330261,
11,"15W3032-2", 11.7814255, 32.6437263, 21.8309097,
12,"15W3032-2", 11.8094788, 32.5176086, 21.6921310,
13,"14NY0617-2", 26.9777374, 26.9743004, 1.7025299,
14,"14NY0617-2", 27.2112885, 27.2415085, 1.8211670,
15,"14NY0656-1", 31.8717651, 29.6481361,-3.7497597,
16,"14NY656-1", 32.2979507, 29.6742439,-4.0778351,
17,"14NY0656-1", 32.1631851, 29.8244934,-3.7953300,
18,"15W2361-2", 18.6571198, 29.0040474, 12.2542114,
19,"15W2361-2", 18.6001282, 29.2032814, 12.4674225,
20,"14NY0444-1", 19.3353577, 7.3515954,-5.5021019,
21,"14NY0444-1", 19.5446625, 7.5456862,-5.5119820,
22,"14NY0444-1", 19.4095573, 7.9126248,-5.2409210,
23,"15W2807-2", 12.3336220, 30.7053185, 18.2751007,
24,"15W2807-2", 12.6439400, 31.1462135, 18.4436798,
25,"15W2807-2", 12.5785408, 31.0101280, 18.3889313,
26,"15W3205-2", 16.2319870, 30.8729057, 16.3044891,
27,"15W3205-2", 16.1255798, 30.8916931, 16.4246292,
28,"14NY0150-1", 16.3870773, 14.0731812,-1.1148605,
29,"14NY0150-1", 16.4600754, 14.3543148,-0.8176956,
30,"14W30927-1", 23.4738770, 37.2158546, 11.3552628,
31,"14W30927-1", 23.5815239, 37.4093513, 11.4742966,
32,"15W3146-2", 21.0283203, 7.3023753,-8.8545380,
33,"15W3146-2", 21.2879028, 7.5465531,-8.8938370,
34,"14NY0407-2", 41.3918457, 37.8805618,-3.1192703,
35,"14NY0407-2", 41.2587585, 38.1146240,-2.8277817,
36,"14NY0407-2", 41.3898735, 38.3402863,-2.6964188,
37,"15W3610-18", 17.6086655, 35.1783485, 5.4761505,
38,"15W3610-1", 17.7924385, 35.0091476, 5.4815063,
39,"14NY0407-1", 45.2676926, 37.7682037,-6.0988388,
40,"14NY0407-1", 45.6470413, 38.0381317,-6.0942612,
41,"14NY0407-1", 45.9523697, 38.3502960,-6.0430145,
42,"15W2610-2", 18.3298645, 13.2985001,-2.4782257,
43,"15W2610-2", 18.1697350, 13.3061657,-2.3321304,
44,"14NY0150-2", 18.3308029, 14.6586685,-1.7539444,
45,"14NY0150-2", 17.9710617, 14.5899696,-1.4611816,
46,"14NY0617-1", 22.8497810, 29.4360046, 7.6757660,
47,"14NY0617-1", 22.5393410, 29.3158531, 7.8672485,
48,"14NY0444-2", 12.9514008, 13.5600948,-0.0503616,
49,"14NY0444-2", 13.2087364, 13.8707809, 0.0135956,
50,"14NY0072-2", 20.7459679, 33.6441154, 11.4879608,
51,"14NY0072-2", 20.6940613, 33.6148376, 11.5481339,

                        "Minimum:",,-5.7872086,-170.0343170,-175.4692078,
                        "Maximum:",, 45.9523697, 45.4527893, 21.8309097,
                        "Mean:",, 20.6497707, 4.1677771,-17.3907871,
                        "Std. Deviation:",, 13.6316042, 64.9601898, 58.7582664,
                        "Total Values:",, 51.0000000, 51.0000000, 51.0000000,
