
File Name:      C:\USERS\DUSTIN\DESKTOP\SWEETCORN\LILY\WSMDP2021SU1SUMODPLSVAL.ANL  Predicted Value File
File Date:      Wed Jan 20 23:41:39 2021
Last Update:    Wed Jan 20 23:41:39 2021
File ID:        Exported from Mosaic            Master No:      <none>
Samples:        51              Deleted:        0
Constituents:   8               No. Data Points:        4200
Moisture Basis  Dry Matter
Samples of Total        51 of 51

"Position","Sample Number","AveFructose","AveGlucose2","AveSucrose2","AveTotalSugar2","AveFructose2","AveGlucose","AveSucrose","AveTotalSugar",
1,"<none>", 34.8594818, 44.1041107, 205.3914795, 297.9797974, 34.8594818, 44.1041107, 205.3914795, 297.9797974,
2,"<none>", 34.8389893, 44.0959129, 205.7066650, 298.4114380, 34.8389893, 44.0959129, 205.7066650, 298.4114380,
3,"<none>", 34.8618965, 44.0722427, 205.8935852, 298.9012451, 34.8618965, 44.0722427, 205.8935852, 298.9012451,
4,"<none>", 34.8877907, 44.1753273, 205.8349915, 298.9292603, 34.8877907, 44.1753273, 205.8349915, 298.9292603,
5,"<none>", 34.8346748, 44.1363182, 206.1981506, 298.8047791, 34.8346748, 44.1363182, 206.1981506, 298.8047791,
6,"<none>", 34.8487167, 44.1641083, 206.7304993, 299.8721924, 34.8487167, 44.1641083, 206.7304993, 299.8721924,
7,"14NY0656-2", 5.1656122, 4.5252533, 3.4141426, 14.0314369, 5.1656122, 4.5252533, 3.4141426, 14.0314369,
8,"14NY0656-2", 5.1419029, 4.5038004, 3.3885612, 13.8932724, 5.1419029, 4.5038004, 3.3885612, 13.8932724,
9,"14NY0440-1", 3.9460392, 3.0003278, 4.6176834, 10.7650528, 3.9460392, 3.0003278, 4.6176834, 10.7650528,
10,"14NY0440-1", 3.8759823, 2.9333973, 4.3278427, 10.3618774, 3.8759823, 2.9333973, 4.3278427, 10.3618774,
11,"15W3032-2", 4.4455934, 3.8404336, 11.0592213, 19.8318520, 4.4455934, 3.8404336, 11.0592213, 19.8318520,
12,"15W3032-2", 4.4483032, 3.8670993, 11.1873093, 20.2943954, 4.4483032, 3.8670993, 11.1873093, 20.2943954,
13,"14NY0617-2", 5.7446876, 4.6353579, 6.1182384, 13.9323540, 5.7446876, 4.6353579, 6.1182384, 13.9323540,
14,"14NY0617-2", 5.7170577, 4.6150413, 5.8756428, 13.7273140, 5.7170577, 4.6150413, 5.8756428, 13.7273140,
15,"14NY0656-1", 6.4771485, 5.3315926, 4.2722378, 16.5361404, 6.4771485, 5.3315926, 4.2722378, 16.5361404,
16,"14NY656-1", 6.4346499, 5.3034997, 4.2201729, 16.7106819, 6.4346499, 5.3034997, 4.2201729, 16.7106819,
17,"14NY0656-1", 6.3958721, 5.2863960, 4.2716312, 16.7998924, 6.3958721, 5.2863960, 4.2716312, 16.7998924,
18,"15W2361-2", 4.3118935, 4.2045274, 8.9120865, 16.5633545, 4.3118935, 4.2045274, 8.9120865, 16.5633545,
19,"15W2361-2", 4.2546711, 4.1537495, 8.7123528, 16.3992310, 4.2546711, 4.1537495, 8.7123528, 16.3992310,
20,"14NY0444-1", 9.2334881, 6.7692080, 20.8916931, 34.6701660, 9.2334881, 6.7692080, 20.8916931, 34.6701660,
21,"14NY0444-1", 9.2000561, 6.7357693, 20.6723671, 34.4111862, 9.2000561, 6.7357693, 20.6723671, 34.4111862,
22,"14NY0444-1", 9.1783991, 6.7456203, 20.3861237, 34.6272507, 9.1783991, 6.7456203, 20.3861237, 34.6272507,
23,"15W2807-2", 4.2829900, 3.9826353, 8.9607944, 18.0962906, 4.2829900, 3.9826353, 8.9607944, 18.0962906,
24,"15W2807-2", 4.2186942, 3.9216418, 9.0026798, 18.0827599, 4.2186942, 3.9216418, 9.0026798, 18.0827599,
25,"15W2807-2", 4.1944957, 3.9058342, 8.9856853, 18.2676201, 4.1944957, 3.9058342, 8.9856853, 18.2676201,
26,"15W3205-2", 4.4854827, 4.5906916, 8.8978024, 17.2348099, 4.4854827, 4.5906916, 8.8978024, 17.2348099,
27,"15W3205-2", 4.4540930, 4.5680823, 8.8941402, 16.9994202, 4.4540930, 4.5680823, 8.8941402, 16.9994202,
28,"14NY0150-1", 6.5427456, 5.0083089, 24.1902008, 33.2181702, 6.5427456, 5.0083089, 24.1902008, 33.2181702,
29,"14NY0150-1", 6.5123239, 4.9800692, 24.0584641, 32.9796486, 6.5123239, 4.9800692, 24.0584641, 32.9796486,
30,"14W30927-1", 4.2542834, 4.1213293, 6.9171047, 15.2313843, 4.2542834, 4.1213293, 6.9171047, 15.2313843,
31,"14W30927-1", 4.2339091, 4.1000466, 7.0743370, 15.5903473, 4.2339091, 4.1000466, 7.0743370, 15.5903473,
32,"15W3146-2", 8.2110958, 5.4808846, 29.2512550, 40.5128059, 8.2110958, 5.4808846, 29.2512550, 40.5128059,
33,"15W3146-2", 8.1888523, 5.4658165, 29.2794914, 40.7398872, 8.1888523, 5.4658165, 29.2794914, 40.7398872,
34,"14NY0407-2", 5.5321169, 3.8887937, 3.9662819, 11.9454002, 5.5321169, 3.8887937, 3.9662819, 11.9454002,
35,"14NY0407-2", 5.4758105, 3.8558717, 3.7693329, 11.7340050, 5.4758105, 3.8558717, 3.7693329, 11.7340050,
36,"14NY0407-2", 5.4387383, 3.8304944, 3.6427670, 11.6938286, 5.4387383, 3.8304944, 3.6427670, 11.6938286,
37,"15W3610-18", 5.7251768, 4.4921079, 9.9098282, 24.9527931, 5.7251768, 4.4921079, 9.9098282, 24.9527931,
38,"15W3610-1", 5.7598286, 4.5239067, 9.4487438, 24.2361565, 5.7598286, 4.5239067, 9.4487438, 24.2361565,
39,"14NY0407-1", 5.9208832, 3.9654093, 2.9141197, 9.8756599, 5.9208832, 3.9654093, 2.9141197, 9.8756599,
40,"14NY0407-1", 5.8864894, 3.9415035, 2.4842072, 9.4145889, 5.8864894, 3.9415035, 2.4842072, 9.4145889,
41,"14NY0407-1", 5.8309488, 3.8924022, 2.3674297, 9.1994820, 5.8309488, 3.8924022, 2.3674297, 9.1994820,
42,"15W2610-2", 6.5125179, 6.1065245, 21.3689957, 33.3322411, 6.5125179, 6.1065245, 21.3689957, 33.3322411,
43,"15W2610-2", 6.4836864, 6.0883694, 21.4894485, 33.5713234, 6.4836864, 6.0883694, 21.4894485, 33.5713234,
44,"14NY0150-2", 6.4384766, 4.8809762, 23.7982903, 32.8346519, 6.4384766, 4.8809762, 23.7982903, 32.8346519,
45,"14NY0150-2", 6.4312429, 4.8678913, 23.8946190, 33.0004578, 6.4312429, 4.8678913, 23.8946190, 33.0004578,
46,"14NY0617-1", 5.1870799, 4.2321601, 7.8087769, 15.0958748, 5.1870799, 4.2321601, 7.8087769, 15.0958748,
47,"14NY0617-1", 5.1769834, 4.2193680, 7.8663845, 14.9473267, 5.1769834, 4.2193680, 7.8663845, 14.9473267,
48,"14NY0444-2", 7.6794386, 6.0434794, 17.5730057, 32.3499680, 7.6794386, 6.0434794, 17.5730057, 32.3499680,
49,"14NY0444-2", 7.6337595, 6.0212164, 17.6540947, 32.4466019, 7.6337595, 6.0212164, 17.6540947, 32.4466019,
50,"14NY0072-2", 4.0989447, 3.3362174, 8.1377258, 15.2315903, 4.0989447, 3.3362174, 8.1377258, 15.2315903,
51,"14NY0072-2", 4.0677395, 3.3292034, 8.5120773, 15.8747177, 4.0677395, 3.3292034, 8.5120773, 15.8747177,

                        "Minimum:",, 3.8759823, 2.9333973, 2.3674297, 9.1994820, 3.8759823, 2.9333973, 2.3674297, 9.1994820,
                        "Maximum:",, 34.8877907, 44.1753273, 206.7304993, 299.8721924, 34.8877907, 44.1753273, 206.7304993, 299.8721924,
                        "Mean:",, 9.1757202, 9.2713795, 34.1215820, 53.6302757, 9.1757202, 9.2713795, 34.1215820, 53.6302757,
                        "Std. Deviation:",, 9.5711231, 12.8851595, 63.8080559, 90.8522491, 9.5711231, 12.8851595, 63.8080559, 90.8522491,
                        "Total Values:",, 51.0000000, 51.0000000, 51.0000000, 51.0000000, 51.0000000, 51.0000000, 51.0000000, 51.0000000,
