
File Name:      C:\USERS\DUSTIN\DESKTOP\SWEETCORN\LILY\WSMDP_ALLSAMPLES_INCLVAL_WSMDP2021GLSUPLS.ANL  Predicted Value File
File Date:      Wed Mar 03 10:53:04 2021
Last Update:    Wed Mar 03 10:52:54 2021
File ID:        Exported from Mosaic            Master No:      <none>
Samples:        4558            Deleted:        0
Constituents:   5               No. Data Points:        4200
Moisture Basis  Dry Matter
Samples of Total        4558 of 4558

"Position","Sample Number","Grouping by Num","AveFructose","AveGlucose","AveSucrose","AveTotalSugar",
1,"14w32448", 1.1896350, 3.9286790, 4.1809769, 3.6839256, 13.9675503,
2,"14W32448-1", 1.1829565, 3.8015225, 4.1220474, 3.8500519, 13.9059315,
3,"14W32138-1", 1.4329748, 4.8798404, 4.4987097, 6.8956718, 14.0894222,
4,"14W31477-1", 1.2564836, 5.3990302, 5.6129017, 2.7363358, 13.0923405,
5,"14W32469-1", 1.2996881, 4.5459156, 5.2070346, 6.0239582, 16.8875484,
6,"14W31545-2", 1.4099121, 4.2079296, 4.3148260, 2.3220253, 8.4521847,
7,"14W31557-1", 1.2733313, 4.2401438, 4.5822449, 7.8393936, 16.9781437,
8,"14W32251-1", 1.1239966, 6.7526083, 6.9343848, 8.3383141, 22.8283253,
9,"13W31279-1", 1.1620110, 4.6557970, 4.0918770, 9.3247452, 17.4110355,
10,"14W31315-1", 1.2276928, 3.8487778, 3.8435836, 4.9618530, 13.1745434,
11,"14W31911-1", 1.1726855, 5.6765614, 5.2548842, 4.1360779, 14.9293270,
12,"14W314550-1", 1.1822149, 6.2099428, 5.6419897, 2.9716797, 14.6990604,
13,"14W31741-2", 1.3216488, 4.7384109, 4.9392877, 3.9459496, 13.3363590,
14,"14W31712-1", 1.3165064, 5.2960334, 5.5028224, 4.3360443, 14.4453907,
15,"14W30726-1", 1.3233122, 4.8642912, 4.8797226, 4.3465977, 12.6998005,
16,"14W32105-1", 1.1768007, 5.8704147, 5.6235175, 2.8973808, 14.1212902,
17,"14W31852-1", 1.1472390, 4.7054467, 4.1158113, 11.3438301, 21.4202747,
18,"14W30671-2", 1.0863411, 5.9528651, 5.2135363, 8.9958344, 21.5227909,
19,"14W31832-1", 1.1421803, 5.3122492, 4.4750175, 5.0365238, 15.3974781,
20,"14W30915-1", 1.1335874, 5.7999182, 5.2628894, 4.0880451, 15.3745747,
21,"14W31933-1", 1.1719545, 5.1731901, 4.7173829, 4.3692169, 13.7522068,
22,"14W31119-1", 1.2037392, 6.2358699, 6.0542293, 2.6914425, 14.2926884,
23,"14W32031-1", 1.2756083, 5.0264964, 5.0022807, 2.6363888, 12.3137493,
24,"14W31510-1", 1.2112234, 6.2516046, 5.8125515, 1.2978668, 13.7212543,
25,"14W32070-1", 1.3087335, 4.8959727, 5.0007272, 4.2705746, 13.1929874,
26,"14W31435-1", 1.3595761, 3.9854863, 4.2677145, 5.4057217, 13.2949810,
27,"14W31114-1", 1.1732218, 6.0156689, 5.4192171, 4.7767773, 18.5487232,
28,"14W31713-1", 1.1559259, 5.4910817, 5.0620952, 4.0764675, 15.0207119,
29,"14W31237-1", 1.3006579, 4.0882459, 4.4166050, 5.4615498, 15.7318974,
30,"14W31637-1", 1.3160847, 6.3840919, 6.3146887, 0.3602982, 13.9257259,
31,"14W32473-1", 1.2861273, 6.1035490, 5.8242788, 3.3340626, 13.7225552,
32,"14W32149-1", 1.2940158, 3.8215742, 4.8156815, 4.6441288, 15.3833256,
33,"14W30926-2", 1.2512469, 4.5396290, 5.1460848, 2.3346348, 12.8904781,
34,"14W30841-1", 1.2465427, 5.8095241, 5.8315010, 4.9681950, 16.2750607,
35,"14W30744-1", 1.2480658, 4.5981798, 4.7298436, 5.9361153, 15.2680492,
36,"14W31130-1", 1.3226029, 3.5489092, 4.7233877, 7.6580372, 16.7017231,
37,"14W30938-1", 1.2337801, 5.6187930, 5.5658574, 5.7942543, 17.9141254,
38,"14W32438-1", 1.2314534, 4.5099945, 4.9621792, 6.8610325, 17.3055553,
39,"14W30653-1", 1.1428777, 5.7697501, 5.1743870, 6.1083069, 16.7932682,
40,"14W32238-1", 1.1825376, 7.7015772, 7.3095183, 11.4240761, 24.7482204,
41,"14W30515-1", 1.1597019, 5.4091797, 4.9748063, 5.1834641, 15.4047260,
42,"14W30515-1", 1.1645436, 5.3530412, 4.9296589, 5.6403503, 15.3848133,
43,"14W32031-2", 1.3781369, 5.0481672, 5.0037546, 5.7440662, 13.9037991,
44,"14W32433-1", 1.1989045, 5.6581106, 5.1179075, 4.7759972, 15.2300472,
45,"14W31429-1", 1.1518888, 7.5770416, 6.0584722, 11.8635674, 25.9414921,
46,"14W32441-1", 1.2073282, 5.0433493, 5.1964412, 4.4060879, 14.3888988,
47,"14W31524-1", 1.1652529, 6.5249605, 6.2335362, 10.1037369, 23.6429005,
48,"14W31653-1", 1.2285672, 5.1631498, 5.1245136, 1.7211514, 10.7125950,
49,"14W31653-1", 1.2370229, 5.1087933, 5.1914310, 1.8664341, 11.0953770,
50,"14W31654-1", 1.0871871, 6.4008884, 5.6787677, 14.8594437, 28.9610043,
51,"14W31262-1", 1.2489069, 7.6828938, 6.9702673, 6.0378132, 20.3869076,
52,"13W30927-1", 1.3307272, 4.0073214, 5.2046432, 6.7977467, 15.3711720,
53,"14W31552-1", 1.2174580, 4.8995109, 5.4888544, 4.4487591, 14.8586025,
54,"14W30519-1", 1.1967107, 4.3000584, 4.2492614, 6.3018036, 14.9755802,
55,"14W32253-1", 1.2204976, 6.5369687, 6.8640971, 7.2972317, 22.6660824,
56,"14W31517-1", 1.1659001, 6.1169271, 5.8514433, 3.5051537, 16.1035290,
57,"14W31254-1", 1.2503229, 3.9150457, 5.0724115, 5.3873901, 14.4282932,
58,"14W32064-1", 1.1965284, 6.8126049, 6.5887313, 2.7026825, 17.8740559,
59,"14W32227-1", 1.0918934, 6.8632994, 5.8389287, 9.6817398, 24.8159389,
60,"14W31060-1", 1.2132331, 7.1758046, 6.5277090, 7.9987068, 24.1104717,
61,"14W31060-1", 1.2092129, 7.2697086, 6.6113482, 7.6531029, 23.8481426,
62,"14W32050-1", 1.2076342, 3.9781499, 4.0166864, 2.7516785, 10.7907925,
63,"14W32114-1", 1.3408878, 3.7992766, 4.3053045, 6.6856613, 13.8728085,
64,"14W32142-1", 1.2824298, 5.1394320, 4.3818722, 5.9231663, 17.7066288,
65,"13W30928-1", 1.3348652, 4.4286909, 5.1157937, 4.6716976, 13.2175388,
66,"14W31104-1", 1.2894077, 4.7378497, 4.7828312, 4.0507183, 15.4587460,
67,"14W31856-1", 1.1352186, 6.7465539, 5.9830260, 12.3279381, 27.3568287,
68,"14W31076-1", 1.2764442, 5.6739955, 5.9709349, 3.2297249, 14.7698460,
69,"14W31133-1", 1.2651708, 3.2808199, 3.1844807, 7.4290524, 10.9214420,
70,"14W31277-1", 1.2406811, 5.4456649, 6.4499035, 15.0227814, 24.8936405,
71,"14W31729-1", 1.2379453, 5.3808417, 4.5765100, 2.5839214, 10.8287868,
72,"14W32127-", 1.2576786, 4.6652246, 4.9796128, 2.6937218, 14.6858578,
73,"14W32127-1", 1.2630098, 4.5593238, 4.8430777, 2.4126854, 14.1365414,
74,"14W31506-1", 1.1853817, 6.4880552, 6.4505315, 6.2208900, 21.7950535,
75,"14W31738-1", 1.1908296, 5.5620694, 4.9313359, 2.5307369, 12.8240185,
76,"14W31752-1", 1.4402320, 3.7195628, 3.6447730, 6.1786919, 12.1615238,
77,"14W30847-1", 1.1492524, 5.3421512, 5.5491467, 1.2576962, 12.8585072,
78,"14W31113-1", 1.3439600, 5.1051126, 5.6414475, 4.1547108, 13.7211819,
79,"14W32037-1", 1.1673801, 5.1563883, 4.4908886, 3.0732403, 12.8835697,
80,"14W31548-1", 1.3659211, 4.8720913, 5.8652191, 5.1849632, 15.1399555,
81,"14W30527-1", 1.2722818, 2.5275426, 4.7898812, 1.9824982, 5.1263809,
82,"14W30926-1", 1.2208723, 4.9127073, 4.8085351, 1.9718723, 13.1215191,
83,"14W32155-1", 1.3845223, 4.3040271, 4.7941976, 6.1352844, 15.0020809,
84,"14W31754-1", 1.2718031, 5.1783619, 6.8166542, 2.2714214, 14.7185955,
85,"14W32146-1", 1.1596618, 8.8779182, 7.7511601, 12.8686485, 31.2842617,
86,"13W30310-1", 1.3160155, 4.1340179, 5.5331035, 4.7711792, 14.4598446,
87,"14W31461-1", 1.2942761, 4.8372564, 6.4018970, 3.3175392, 14.0093288,
88,"14W30741-1", 1.3157938, 4.2498751, 4.3441200, 3.3246956, 11.1579227,
89,"14W32440-1", 1.2029966, 5.1230545, 5.2285209, 7.7134705, 20.0629406,
90,"14W31551-1", 1.1977546, 5.1520243, 5.0642514, 4.0797062, 15.4544811,
91,"14W31530-1", 1.4190134, 5.5276952, 5.4525418, 2.1245060, 6.5518494,
92,"14W31053-1", 1.2025342, 3.7544079, 4.3551769, 3.5770016, 13.9742184,
93,"14W31325-1", 1.3232694, 4.4104443, 5.3420315, 5.7395287, 15.2952099,
