
File Name:      C:\USERS\DUSTIN\DESKTOP\SWEETCORN\LILY\WSMDP_ALLSAMPLES_INCLVAL_WSMDP2021SH2SUPLS.ANL  Predicted Value File
File Date:      Wed Mar 03 10:55:34 2021
Last Update:    Wed Mar 03 10:55:34 2021
File ID:        Exported from Mosaic            Master No:      <none>
Samples:        4558            Deleted:        0
Constituents:   4               No. Data Points:        4200
Moisture Basis  Dry Matter
Samples of Total        4558 of 4558

"Position","Sample Number","AveFructose","AveGlucose","AveSucrose","AveTotalSugar",
1,"14w32448", 8.5141716, 8.4280291, 20.6598663, 32.8833504,
2,"14W32448-1", 8.4907312, 8.4012861, 20.7322845, 32.9819794,
3,"14W32138-1", 8.6910343, 8.5972395, 20.2893143, 24.5423851,
4,"14W31477-1", 8.3181496, 8.2942686, 21.2667580, 26.4566288,
5,"14W32469-1", 8.6260557, 8.5107784, 20.4416866, 29.6143379,
6,"14W31545-2", 8.5221195, 8.4131861, 20.7565422, 22.7260857,
7,"14W31557-1", 9.0553675, 8.8926659, 19.1005955, 27.2688236,
8,"14W32251-1", 7.5522771, 7.5778818, 23.6515675, 38.3996277,
9,"13W31279-1", 8.6144857, 8.5251904, 20.3922977, 33.8243599,
10,"14W31315-1", 8.6124115, 8.3742046, 20.4515343, 30.2034073,
11,"14W31911-1", 8.8308105, 8.6825457, 19.8165112, 30.3514385,
12,"14W314550-1", 8.7681131, 8.6492224, 19.9911633, 31.0984421,
13,"14W31741-2", 8.5184250, 8.4610605, 20.7129936, 26.4753342,
14,"14W31712-1", 8.6300507, 8.5526943, 20.4229221, 25.4001369,
15,"14W30726-1", 8.6794291, 8.6062107, 20.2171402, 25.4268761,
16,"14W32105-1", 8.7807989, 8.6680965, 19.9420471, 30.0951080,
17,"14W31852-1", 8.3462601, 8.1740046, 21.2258511, 36.2033691,
18,"14W30671-2", 8.4753017, 8.3401155, 20.9192810, 35.0172462,
19,"14W31832-1", 8.6396809, 8.4152327, 20.3952026, 35.0026588,
20,"14W30915-1", 8.7480631, 8.5738449, 20.0337811, 32.8782921,
21,"14W31933-1", 8.6143675, 8.5191088, 20.4117794, 26.9537029,
22,"14W31119-1", 8.7872658, 8.6816206, 19.9450207, 28.0692558,
23,"14W32031-1", 8.4514217, 8.3957911, 20.8761768, 27.1319504,
24,"14W31510-1", 8.5426369, 8.4768686, 20.6546764, 32.1334419,
25,"14W32070-1", 8.6165113, 8.5330439, 20.4368515, 26.0894585,
26,"14W31435-1", 9.0554504, 8.9273300, 19.0399780, 27.3673477,
27,"14W31114-1", 8.5360632, 8.4662094, 20.6924782, 35.8846855,
28,"14W31713-1", 8.5987167, 8.4551630, 20.4727192, 33.2648659,
29,"14W31237-1", 8.8729792, 8.7502842, 19.5903625, 32.8592682,
30,"14W31637-1", 8.5797691, 8.6229725, 20.4546509, 32.0173645,
