
File Name:      C:\USERS\DUSTIN\DESKTOP\SWEETCORN\LILY\WSMDPLWSPNFSUPLS_PREDA-G.ANL  Predicted Value File
File Date:      Mon Mar 22 15:17:26 2021
Last Update:    Mon Mar 22 15:17:26 2021
File ID:        Exported from Mosaic            Master No:      <none>
Samples:        6445            Deleted:        0
Constituents:   4               No. Data Points:        4200
Moisture Basis  Dry Matter
Samples of Total        6445 of 6445

"Position","Sample Number","AveFructose","AveGlucose","AveSucrose","AveTotalSugar",
1,"<none>", 11.8762255, 18.4830208, 42.3713074, 184.2520905,
2,"<none>", 11.8941021, 18.4637909, 42.3929901, 184.1705933,
3,"<none>", 11.8754807, 18.3173733, 42.4440956, 184.3070679,
4,"<none>", 11.9066324, 18.5263519, 42.2792206, 183.4430237,
5,"<none>", 11.8790016, 18.2994556, 42.4313126, 184.8582458,
6,"<none>", 11.8937387, 18.5145931, 42.4989662, 185.3064117,
7,"14NY0656-2", 5.3756404, 4.5909724, 12.8597851, 16.5854015,
8,"14NY0656-2", 5.3681240, 4.5150571, 12.8735180, 16.6438389,
9,"14NY0440-1", 4.8367028, 4.1075392, 11.3679676, 10.5411491,
10,"14NY0440-1", 4.8185129, 4.0030513, 11.3649845, 10.5035400,
11,"15W3032-2", 5.2264833, 6.2384152, 14.0742569, 31.6664429,
12,"15W3032-2", 5.2218175, 6.2026052, 14.0663834, 31.6577950,
13,"14NY0617-2", 5.5920229, 4.3028245, 17.5666504, 26.2090645,
14,"14NY0617-2", 5.5868535, 4.2978225, 17.5355682, 25.9987984,
15,"14NY0656-1", 5.5520458, 5.0010653, 15.5848465, 22.6833744,
16,"14NY656-1", 5.5523648, 4.9292574, 15.5858784, 22.3260841,
17,"14NY0656-1", 5.5588560, 4.9553795, 15.6331635, 22.4922333,
18,"15W2361-2", 5.1455698, 4.9358797, 14.4736824, 28.1280460,
19,"15W2361-2", 5.1415577, 4.9176946, 14.4341679, 27.8611240,
20,"14NY0444-1", 6.7173615, 6.0051689, 25.5167713, 49.8465195,
21,"14NY0444-1", 6.7092686, 5.9160957, 25.4979286, 49.5578918,
22,"14NY0444-1", 6.7050261, 6.0557837, 25.4050179, 49.4842644,
23,"15W2807-2", 5.6734333, 5.7887540, 15.3331528, 31.3329544,
24,"15W2807-2", 5.6649904, 5.7668848, 15.3439636, 31.3271160,
25,"15W2807-2", 5.6629496, 5.7354722, 15.3402996, 31.2896500,
26,"15W3205-2", 5.9428725, 5.1555514, 15.7855587, 26.3747635,
27,"15W3205-2", 5.9343777, 5.1506858, 15.7627525, 26.2444324,
28,"14NY0150-1", 7.0921564, 5.3314352, 27.2242374, 36.9164848,
29,"14NY0150-1", 7.0919156, 5.3051486, 27.1970997, 36.5082016,
30,"14W30927-1", 5.4330192, 2.9136651, 13.8181839, 20.3724632,
31,"14W30927-1", 5.4235029, 2.9538016, 13.8356838, 20.6743069,
32,"15W3146-2", 7.3318620, 6.1317005, 29.0915604, 45.1922531,
33,"15W3146-2", 7.3292189, 6.1484542, 29.0645466, 45.0323944,
34,"14NY0407-2", 5.0139289, 2.8434160, 12.8632545, 17.2406826,
35,"14NY0407-2", 5.0145998, 2.8856907, 12.8151894, 17.1339378,
36,"14NY0407-2", 5.0105457, 2.8646257, 12.7999592, 16.8679810,
37,"15W3610-18", 6.2752795, 4.9933262, 18.7133121, 18.6288109,
38,"15W3610-1", 6.2786608, 4.9817443, 18.7840633, 18.8583164,
39,"14NY0407-1", 4.9510765, 2.9355721, 13.0304909, 18.6094189,
40,"14NY0407-1", 4.9432931, 2.9270861, 12.9391232, 18.1415977,
41,"14NY0407-1", 4.9380994, 2.8250141, 12.9408207, 18.0051746,
42,"15W2610-2", 6.4760208, 6.6383696, 23.4143448, 36.7110291,
