Sample Number,Variety,endo,Source notes,year,location,Extra Notes
14A0017,W64A,Field,Wf9 x C.I. 187-2,2014,New York,
14A0034,W85,field,"Ottawa Flint BB85 (Dept. Of Agric. Ottawa, Canada)",2014,New York,
14A0493,W64A,field,Wf9 x C.I. 187-2,2014,New York,
14A0525,W85,field,"Ottawa Flint BB85 (Dept. Of Agric. Ottawa, Canada)",2014,New York,
14A0656,DF14,field,Oh43 synthetic (field in compilation file),2014,New York,
14A0004,We09413,se,(Bojangles x Brocade)@,2014,New York,
14A0006,We05401,se,not found in compliation or diversity panel,2014,New York,
14A0011,Check1,se,not found in compliation or diversity panel,2014,New York,
14A0013,We01407,se,not found in compliation or diversity panel,2014,New York,
14A0015,IL747b,se,IL667a x Crookham (marked as su1 on diversity panel?),2014,New York,
14A0020,We05411,se,not found in compliation or diversity panel,2014,New York,
14A0021,We08414a,se,(98080x 98081)@@ (Dent x Wh9261),2014,New York,
14A0026,We06410,se,not found in compliation or diversity panel,2014,New York,
14A0029,We05408,se,not found in compliation or diversity panel,2014,New York,
14A0035,We08408,se,(97818 x 97803)@@@(Lanc.xCt1401)x(SSS Guelph),2014,New York,
14A0039,We02412,se,not found in compliation or diversity panel,2014,New York,
14A0043,Check1,se,not found in compliation or diversity panel,2014,New York,
14A0044,We05407,se,Trinity x 98401,2014,New York,
14A0050,Check1,se,not found in compliation or diversity panel,2014,New York,
14A0051,We02404,se,not found in compliation or diversity panel,2014,New York,
14A0056,W822GSe,se,not found in compliation or diversity panel,2014,New York,
14A0057,We09402,se,(Bojangles x Ambrosia)@,2014,New York,
14A0058,We09425,se,(GH2041 x Ambrosia)@,2014,New York,
14A0060,We10401,se,(BS16 (S) C2 Syn 2 x Accord)@@,2014,New York,
14A0065,We03418a,se,Sugar Buns x BC2753,2014,New York,
14A0073,We08417a,se,(97813 x 97810)@@@ (Lanc.xCt1401),2014,New York,
14A0078,Check1,se,not found in compliation or diversity panel,2014,New York,
14A0080,We05410,se,98410b x Trinity,2014,New York,
14A0246,IL44b,se,Country Gentleman,2014,New York,
14A0328,Il677a,se,(Bolivia 1035 x IL44b) x IL442a,2014,New York,
14A0334,B5765,se,B5765 Se (maked as su1 in diversity panel),2014,New York,
14A0353,IL766a,se,(T35x IL677a)x IL677a (marked as su in diversity panel),2014,New York,
14A0426,IL696a,se,American White Pearl x IL318a (marked as su1 on diversity panel),2014,New York,
14A0444,Check1,se,not found in compliation or diversity panel,2014,New York,
14A0454,IL747b,se,IL667a x Crookham (marked as su1 on diversity panel?),2014,New York,
14A0460,W822GSe,se,not found in compliation or diversity panel,2014,New York,
