"GenoName","Sucrose"
"2",12.6566887
"2",10.8558769
"2",11.6943398
"2",6.3607979
"2",9.4232178
"2",8.8972855
"2",11.0500107
"2",5.7566528
"257A9",3.0678177
"257A9",7.4841042
"257A9",0
"257A9",9.0419502
"PI358527",6.2876778
"PI358527",13.0024567
"PI358527",8.6003151
"PI358527",12.874958
"PI358527",9.9390793
"PI358527",5.8360329
"PI358527",2.5224648
"PI358527",4.424202
"PI358527",3.2835922
"PI358527",5.115406
"PI358527",6.562542
"34f",14.3274193
"34f",NA
"34f",20.6582451
"34f",17.8551064
"34f",17.9968529
"34f",12.3957901
"34f",17.7414055
"471_U6",2.4570961
"471_U6",14.1243439
"471_U6",18.6464577
"471_U6",10.6560555
"471_U6",12.4285278
"471_U6",14.851223
"PI358531",6.1893768
"PI358531",14.5097466
"PI358531",11.4434586
"PI358531",11.3214531
"PI358531",12.2493858
"NSL8581",6.6658859
"NSL8581",10.9856491
"83610b",17.0130234
"83610b",15.3026657
"83610b",6.882
"83610b",13.4984512
"83610b",11.1110344
"83610b",17.3485756
"83612b",17.4137878
"83612b",18.2735329
"83612b",17.6349182
"83612b",15.7723198
"83612b",4.2254486
"83612b",16.9061241
"83612b",13.0109978
"83612b",16.0190353
"83612b",10.9029121
"83612b",15.7724266
"A10579",14.5809593
"A10579",15.4582214
"A10579",18.9941673
"A10579",10.2618904
"A10579",NA
"A10579",16.64468
"A10579",14.0996437
"A10579",16.5792046
"A10579",11.1403351
"A15",2.5162392
"A15",2.6828346
"A15",0.0568848
"A15",4.863884
"A15",2.812088
"A15",2.8021393
"A15",0
"A15",4.2109261
"A15",7.0436401
"A632",11.4864254
"A632",15.9271297
"A632",11.6888351
"A632",15.3687258
"A632",6.9850178
"A632",11.9428177
"A632",10.9336014
"A632",16.5533638
"A632",7.1147022
"A632",14.7047644
"A632",8.3090439
"A648",6.5830956
"A648",1.0299606
"A648",7.1663094
"A648",3.7512093
"A648",6.5804977
"A648",1.1614799
"A648",7.2039986
"A648",3.9848785
"PI567792",4.2697525
"PI567792",0.1063576
"PI567792",9.9006996
"PI567792",3.9409485
"PI567792",4.3951073
"PI567792",6.4245224
"PI567792",3.7318726
"PI567792",4.1178856
"PI567793",6.3562431
"PI567793",3.6606865
"PI567793",3.7993546
"PI567793",7.0780411
"PI567793",0
"PI567793",7.9645767
"PI567793",8.4895821
"PI567793",3.9995537
"PI567794",4.6104012
"PI567794",7.4705963
"PI567794",4.3147888
"PI567794",5.3417397
"PI567794",0.8127174
"PI567794",1.4007683
"A7",3.7852287
"A7",0
"A7",4.0336075
"A7",0
"A7",0.8270721
"A7",0
"A7",0
"A7",0
"A7",0
"AS11",8.2139969
"AS11",10.0117035
"AS11",6.7125282
"AS11",10.1628799
"AS11",8.3890419
"AS11",13.1751556
"AS11",5.4543571
"B5765",14.517086
"B5765",14.9729538
"B5765",8.5076866
"B5765",5.3855667
"B5765",12.817955
"B5765",17.565815
"B5765",13.0663109
"B5765",14.1493759
"B5870",2.0128365
"B5870",11.9785461
"B5870",10.6074333
"B5870",10.1804962
"B5870",4.2685585
"B5870",5.4993896
"B5870",9.3547516
"B5870",9.7177963
"B5870",7.2200584
"B73",9.945158
"B73",5.33502896666667
"B73",14.0724831
"B73",11.1922493
"B73",11.10997295
"B73",11.255703
"B73",16.1865082
"Ames22015",7.3143082
"Ames22015",2.5974007
"Ames22015",9.8632698
"Ames22015",7.4594803
"Ames22015",7.1382332
"PI587126",4.807991
"PI587126",3.2601852
"PI587126",2.6263084
"PI587126",9.6210136
"PI587126",5.6604385
"PI587126",6.23608975
"PI587126",12.1063461
"PI587126",3.4960251
"PI587126",5.3198204
"PI587126",3.0899925
"PI587126",3.6500816
"PI587126",3.8646736
"C15",7.4180374
"CI540",8.4620991
"CI540",6.6766739
"CI540",2.3798218
"CI540",10.2713623
"CI540",8.9094925
"CI540",8.2973099
"CI540",10.1062012
"CI540",8.9990444
"Ames22017",5.3560638
"Ames22017",3.7159538
"Ames22017",5.7928123
"Ames22017",10.9859695
"Ames22017",5.665062
"C2",16.1530685
"C2",11.3402481
"C2",12.29599
"C2",12.1855888
"C2",13.8666992
"C2",13.56772995
"Ames22018",6.8358688
"Ames22018",10.2847977
"Ames22018",2.9432449
"Ames22018",7.5795593
"Ames22018",3.7948723
"Ames22018",11.7796593
"Ames22018",6.0796471
"Ames22018",5.3699875
"Ames22018",8.3880539
"Ames22018",4.3386803
"Ames22018",8.8180962
"C23_su",9.0967026
"C23_su",12.1083603
"C23_su",15.1672935
"C23_su",11.3310051
"C23_su",9.7524719
"C23_su",15.296463
"C23_su",8.9613609
"C23_su",4.832859
"C23_su",3.4701881
"Ames22019",3.9643059
"Ames22019",14.6831055
"Ames22019",14.5809402
"Ames22019",5.5851746
"Ames22019",3.3039932
"Ames22019",5.9404068
"Ames22019",3.3202591
"Ames22019",8.5230255
"Ames22019",10.4616318
"C27red",3.4304314
"C27red",7.3037071
"C27red",4.9492531
"C27red",4.3528175
"C27red",5.418766
"C27red",6.0423927
"C27red",8.8930588
"Ames26812",12.1625748
"Ames26812",6.0261192
"Ames26812",8.4420242
"Ames26812",6.4762955
"Ames26812",9.5225372
"Ames26812",9.2488327
"Ames26815",8.8348961
"Ames26815",8.735157
"Ames26815",7.5496407
"Ames26815",5.2702827
"Ames26815",3.1260529
"Ames26815",7.5604553
"Ames26815",7.5107422
"Ames22020",7.9712677
"Ames22020",6.8249092
"Ames22020",8.2243004
"Ames22020",9.5382233
"Ames22020",12.7182121
"Ames22020",6.6079254
"Ames22020",6.9836922
"Ames22021",7.2590256
"Ames22021",6.7400055
"Ames22021",7.6740074
"Ames22021",4.762001
"Ames22021",8.0874138
"Ames22021",3.8077164
"Ames22021",3.5848618
"Ames22021",2.6238823
"Ames22021",2.5881996
"Ames22021",5.7953644
"Ames22021",2.8717575
"C4",2.6045609
"C4",9.9798279
"C4",5.1420174
"C4",11.1643639
"C4",3.04206275
"C4",12.9915161
"C4",11.5267105
"C4",3.196106
"Ames22022",15.7676811
"Ames22022",11.7954369
"Ames22022",11.7780609
"Ames22022",10.8759766
"Ames22022",10.4856796
"Ames22022",10.1927109
"Ames22022",8.2787704
"Ames23507",6.1244965
"Ames23507",5.3527946
"Ames23507",2.3854027
"Ames23507",21.5029488
"Ames23507",4.2866096
"Ames23507",8.7643204
"Ames23507",3.8293686
"Ames26813",4.7812042
"Ames26813",8.0339699
"Ames26813",10.4685249
"Ames26813",8.4187012
"Ames26813",4.5576706
"Ames26813",9.1752586
"Ames26813",8.5874634
"C5_NT",2.5419006
"C5_NT",10.246479
"C5_NT",4.000679
"C5_NT",1.5070343
"C5_NT",12.9351387
"C5_NT",9.9214821
"C5_NT",4.1005707
"C5_NT",8.9078674
"C65",3.7754593
"C65",5.7510185
"C65",5.8458023
"C65",0
"C65",6.4719582
"C65",6.0881157
"C65",7.5361404
"C65",8.4411392
"C65",1.94627
"C68",3.6529121
"C68",6.4584236
"C68",2.3674049
"C68",6.8620644
"C68",4.9579506
"C68",5.8356781
"C68",4.6193886
"C68Rx_552_63",2.0992699
"C68Rx_552_63",3.6320038
"C68Rx_552_63",7.2612305
"C68Rx_552_63",6.9777107
"C68Rx_552_63",12.8692017
"C68Rx_552_63",6.1861839
"C68Rx_552_63",11.6412964
"C68Rx_552_63",8.491684
"C6A",7.1806183
"C6A",12.1322594
"C6A",7.7756729
"C6A",1.1932449
"C6A",12.4173393
"C6A",12.7542381
"C6A",10.0673294
"C6A",7.3839264
"Ames22012",9.6862068
"Ames22012",4.0775337
"Ames22012",3.655117
"Ames22012",6.7389488
"Ames22012",6.2494583
"Ames22012",7.1557693
