"Trait","Model","Threshold","Marker","Chrom","Position","Ref","Alt","Score","Effect"
"Total.Sugar.BLUP","diplo-general",3.62,"S1_2746546","1",2746546,0,1,4.16,NA
"Total.Sugar.BLUP","diplo-general",3.62,"S1_3355474","1",3355474,0,1,4.16,NA
"Total.Sugar.BLUP","diplo-general",3.62,"S1_4749578","1",4749578,0,1,4.16,NA
"Total.Sugar.BLUP","diplo-general",3.62,"S1_6170206","1",6170206,0,1,4.16,NA
"Total.Sugar.BLUP","diplo-general",3.62,"S1_6797003","1",6797003,0,1,4.43,NA
"Total.Sugar.BLUP","diplo-general",3.62,"S1_10844935","1",10844935,0,1,5.03,NA
"Total.Sugar.BLUP","diplo-general",3.62,"S1_10844936","1",10844936,0,1,5.03,NA
"Total.Sugar.BLUP","diplo-general",3.62,"S1_12344494","1",12344494,0,1,4.12,NA
"Total.Sugar.BLUP","diplo-general",3.62,"S1_16123576","1",16123576,0,1,4.16,NA
"Total.Sugar.BLUP","diplo-general",3.62,"S1_16783688","1",16783688,0,1,3.66,NA
"Total.Sugar.BLUP","diplo-general",3.62,"S1_22069444","1",22069444,0,1,4.16,NA
"Total.Sugar.BLUP","diplo-general",3.62,"S1_24193338","1",24193338,0,1,4.16,NA
"Total.Sugar.BLUP","diplo-general",3.62,"S1_25159790","1",25159790,0,1,4.16,NA
"Total.Sugar.BLUP","diplo-general",3.62,"S1_27399403","1",27399403,0,1,4.16,NA
"Total.Sugar.BLUP","diplo-general",3.62,"S1_27778162","1",27778162,0,1,4.16,NA
"Total.Sugar.BLUP","diplo-general",3.62,"S1_33162335","1",33162335,0,1,4.16,NA
"Total.Sugar.BLUP","diplo-general",3.62,"S1_34947900","1",34947900,0,1,4.43,NA
"Total.Sugar.BLUP","diplo-general",3.62,"S1_56569449","1",56569449,0,1,4.16,NA
"Total.Sugar.BLUP","diplo-general",3.62,"S1_58647493","1",58647493,0,1,4.16,NA
"Total.Sugar.BLUP","diplo-general",3.62,"S1_62918821","1",62918821,0,1,4.16,NA
"Total.Sugar.BLUP","diplo-general",3.62,"S1_68933384","1",68933384,0,1,4.16,NA
"Total.Sugar.BLUP","diplo-general",3.62,"S1_68933427","1",68933427,0,1,4.16,NA
"Total.Sugar.BLUP","diplo-general",3.62,"S1_69865660","1",69865660,0,1,4.16,NA
"Total.Sugar.BLUP","diplo-general",3.62,"S1_70769026","1",70769026,0,1,3.78,NA
"Total.Sugar.BLUP","diplo-general",3.62,"S1_80487298","1",80487298,0,1,4.16,NA
"Total.Sugar.BLUP","diplo-general",3.62,"S1_92871075","1",92871075,0,1,3.67,NA
"Total.Sugar.BLUP","diplo-general",3.62,"S1_93909332","1",93909332,0,1,4.16,NA
"Total.Sugar.BLUP","diplo-general",3.62,"S1_94880983","1",94880983,0,1,4.55,NA
"Total.Sugar.BLUP","diplo-general",3.62,"S1_96310347","1",96310347,0,1,4.16,NA
"Total.Sugar.BLUP","diplo-general",3.62,"S1_107791870","1",107791870,0,1,4.16,NA
"Total.Sugar.BLUP","diplo-general",3.62,"S1_107792455","1",107792455,0,1,4.16,NA
"Total.Sugar.BLUP","diplo-general",3.62,"S1_107793626","1",107793626,0,1,4.16,NA
"Total.Sugar.BLUP","diplo-general",3.62,"S1_140985286","1",140985286,0,1,4.16,NA
"Total.Sugar.BLUP","diplo-general",3.62,"S1_147896164","1",147896164,0,1,4.16,NA
"Total.Sugar.BLUP","diplo-general",3.62,"S1_173238916","1",173238916,0,1,4.16,NA
"Total.Sugar.BLUP","diplo-general",3.62,"S1_196340521","1",196340521,0,1,4.16,NA
"Total.Sugar.BLUP","diplo-general",3.62,"S1_196371689","1",196371689,0,1,4.16,NA
"Total.Sugar.BLUP","diplo-general",3.62,"S1_196429321","1",196429321,0,1,4.16,NA
"Total.Sugar.BLUP","diplo-general",3.62,"S1_207600263","1",207600263,0,1,4.21,NA
"Total.Sugar.BLUP","diplo-general",3.62,"S1_211894593","1",211894593,0,1,4.16,NA
"Total.Sugar.BLUP","diplo-general",3.62,"S1_228019866","1",228019866,0,1,4.16,NA
"Total.Sugar.BLUP","diplo-general",3.62,"S1_229707816","1",229707816,0,1,4.16,NA
"Total.Sugar.BLUP","diplo-general",3.62,"S1_240468637","1",240468637,0,1,4.16,NA
"Total.Sugar.BLUP","diplo-general",3.62,"S1_241219252","1",241219252,0,1,4.16,NA
"Total.Sugar.BLUP","diplo-general",3.62,"S1_241508722","1",241508722,0,1,3.83,NA
"Total.Sugar.BLUP","diplo-general",3.62,"S1_253108783","1",253108783,0,1,4.43,NA
"Total.Sugar.BLUP","diplo-general",3.62,"S1_255255418","1",255255418,0,1,4.16,NA
"Total.Sugar.BLUP","diplo-general",3.62,"S1_258808183","1",258808183,0,1,4.16,NA
"Total.Sugar.BLUP","diplo-general",3.62,"S1_264529186","1",264529186,0,1,4.16,NA
"Total.Sugar.BLUP","diplo-general",3.62,"S1_275382254","1",275382254,0,1,4.39,NA
"Total.Sugar.BLUP","diplo-general",3.62,"S1_275382262","1",275382262,0,1,4.39,NA
"Total.Sugar.BLUP","diplo-general",3.62,"S1_275470664","1",275470664,0,1,3.74,NA
"Total.Sugar.BLUP","diplo-general",3.62,"S1_276254196","1",276254196,0,1,4.16,NA
"Total.Sugar.BLUP","diplo-general",3.62,"S1_286360071","1",286360071,0,1,4.01,NA
"Total.Sugar.BLUP","diplo-general",3.62,"S1_286400476","1",286400476,0,1,5.15,NA
"Total.Sugar.BLUP","diplo-general",3.62,"S1_292929456","1",292929456,0,1,3.9,NA
"Total.Sugar.BLUP","diplo-general",3.62,"S1_295548488","1",295548488,0,1,4.16,NA
"Total.Sugar.BLUP","diplo-general",3.62,"S1_298974405","1",298974405,0,1,3.73,NA
"Total.Sugar.BLUP","diplo-general",3.62,"S1_300040871","1",300040871,0,1,4.16,NA
"Total.Sugar.BLUP","diplo-general",3.62,"S1_300274765","1",300274765,0,1,5.38,NA
"Total.Sugar.BLUP","diplo-general",3.62,"S1_300282112","1",300282112,0,1,4.4,NA
"Total.Sugar.BLUP","diplo-general",3.62,"S2_3974207","2",3974207,0,1,4.09,NA
"Total.Sugar.BLUP","diplo-general",3.62,"S2_3974222","2",3974222,0,1,4.09,NA
"Total.Sugar.BLUP","diplo-additive",3.65,"S1_2746546","1",2746546,0,1,4.16,-8.49344426848647
"Total.Sugar.BLUP","diplo-additive",3.65,"S1_3355474","1",3355474,0,1,4.16,-8.49344426848647
"Total.Sugar.BLUP","diplo-additive",3.65,"S1_4749578","1",4749578,0,1,4.16,-8.49344426848647
"Total.Sugar.BLUP","diplo-additive",3.65,"S1_6170206","1",6170206,0,1,4.16,-8.49344426848647
"Total.Sugar.BLUP","diplo-additive",3.65,"S1_6797003","1",6797003,0,1,4.43,-6.20514245774771
"Total.Sugar.BLUP","diplo-additive",3.65,"S1_10844935","1",10844935,0,1,5.03,-4.95215595205552
"Total.Sugar.BLUP","diplo-additive",3.65,"S1_10844936","1",10844936,0,1,5.03,-4.95215595205552
"Total.Sugar.BLUP","diplo-additive",3.65,"S1_16123576","1",16123576,0,1,4.16,-8.49344426848647
"Total.Sugar.BLUP","diplo-additive",3.65,"S1_22069444","1",22069444,0,1,4.16,-8.49344426848647
"Total.Sugar.BLUP","diplo-additive",3.65,"S1_24193338","1",24193338,0,1,4.16,-8.49344426848647
"Total.Sugar.BLUP","diplo-additive",3.65,"S1_25159790","1",25159790,0,1,4.16,-8.49344426848647
"Total.Sugar.BLUP","diplo-additive",3.65,"S1_27399403","1",27399403,0,1,4.16,-8.49344426848647
"Total.Sugar.BLUP","diplo-additive",3.65,"S1_27778162","1",27778162,0,1,4.16,-8.49344426848647
"Total.Sugar.BLUP","diplo-additive",3.65,"S1_33162335","1",33162335,0,1,4.16,-8.49344426848647
"Total.Sugar.BLUP","diplo-additive",3.65,"S1_34947900","1",34947900,0,1,4.43,-6.20514245774771
"Total.Sugar.BLUP","diplo-additive",3.65,"S1_56569449","1",56569449,0,1,4.16,-8.49344426848647
"Total.Sugar.BLUP","diplo-additive",3.65,"S1_58647493","1",58647493,0,1,4.16,-8.49344426848647
"Total.Sugar.BLUP","diplo-additive",3.65,"S1_62918821","1",62918821,0,1,4.16,-8.49344426848647
"Total.Sugar.BLUP","diplo-additive",3.65,"S1_68933384","1",68933384,0,1,4.16,-8.49344426848647
"Total.Sugar.BLUP","diplo-additive",3.65,"S1_68933427","1",68933427,0,1,4.16,-8.49344426848647
"Total.Sugar.BLUP","diplo-additive",3.65,"S1_69865660","1",69865660,0,1,4.16,-8.49344426848647
"Total.Sugar.BLUP","diplo-additive",3.65,"S1_70769026","1",70769026,0,1,3.82,-6.19824695353508
"Total.Sugar.BLUP","diplo-additive",3.65,"S1_80487298","1",80487298,0,1,4.16,-8.49344426848647
"Total.Sugar.BLUP","diplo-additive",3.65,"S1_93909332","1",93909332,0,1,4.16,-8.49344426848647
"Total.Sugar.BLUP","diplo-additive",3.65,"S1_96310347","1",96310347,0,1,4.16,-16.9868885369729
"Total.Sugar.BLUP","diplo-additive",3.65,"S1_107791870","1",107791870,0,1,4.16,-8.49344426848647
"Total.Sugar.BLUP","diplo-additive",3.65,"S1_107792455","1",107792455,0,1,4.16,-8.49344426848647
"Total.Sugar.BLUP","diplo-additive",3.65,"S1_107793626","1",107793626,0,1,4.16,-8.49344426848647
"Total.Sugar.BLUP","diplo-additive",3.65,"S1_140985286","1",140985286,0,1,4.16,-8.49344426848647
"Total.Sugar.BLUP","diplo-additive",3.65,"S1_147896164","1",147896164,0,1,4.16,-8.49344426848647
"Total.Sugar.BLUP","diplo-additive",3.65,"S1_173238916","1",173238916,0,1,4.16,-16.9868885369729
"Total.Sugar.BLUP","diplo-additive",3.65,"S1_196340521","1",196340521,0,1,4.16,-8.49344426848647
"Total.Sugar.BLUP","diplo-additive",3.65,"S1_196371689","1",196371689,0,1,4.16,-8.49344426848647
"Total.Sugar.BLUP","diplo-additive",3.65,"S1_196429321","1",196429321,0,1,4.16,-8.49344426848647
"Total.Sugar.BLUP","diplo-additive",3.65,"S1_207600263","1",207600263,0,1,4.21,-2.54175855085736
"Total.Sugar.BLUP","diplo-additive",3.65,"S1_211894593","1",211894593,0,1,4.16,-8.49344426848647
"Total.Sugar.BLUP","diplo-additive",3.65,"S1_228019866","1",228019866,0,1,4.16,-8.49344426848647
"Total.Sugar.BLUP","diplo-additive",3.65,"S1_229707816","1",229707816,0,1,4.16,-8.49344426848647
"Total.Sugar.BLUP","diplo-additive",3.65,"S1_240468637","1",240468637,0,1,4.16,-8.49344426848647
"Total.Sugar.BLUP","diplo-additive",3.65,"S1_241219252","1",241219252,0,1,4.16,-8.49344426848647
"Total.Sugar.BLUP","diplo-additive",3.65,"S1_253108783","1",253108783,0,1,4.43,-6.20514245774771
"Total.Sugar.BLUP","diplo-additive",3.65,"S1_255255418","1",255255418,0,1,4.16,-8.49344426848647
"Total.Sugar.BLUP","diplo-additive",3.65,"S1_258808183","1",258808183,0,1,4.16,-8.49344426848647
"Total.Sugar.BLUP","diplo-additive",3.65,"S1_264529186","1",264529186,0,1,4.16,-8.49344426848647
"Total.Sugar.BLUP","diplo-additive",3.65,"S1_275382254","1",275382254,0,1,5.03,-5.48873443485746
"Total.Sugar.BLUP","diplo-additive",3.65,"S1_275382262","1",275382262,0,1,5.03,-5.48873443485746
"Total.Sugar.BLUP","diplo-additive",3.65,"S1_275470664","1",275470664,0,1,3.74,-3.7570871029289
"Total.Sugar.BLUP","diplo-additive",3.65,"S1_276254196","1",276254196,0,1,4.16,-8.49344426848647
"Total.Sugar.BLUP","diplo-additive",3.65,"S1_286360071","1",286360071,0,1,4.69,-3.32971886956408
"Total.Sugar.BLUP","diplo-additive",3.65,"S1_286400476","1",286400476,0,1,5.15,-4.28638625028085
"Total.Sugar.BLUP","diplo-additive",3.65,"S1_292929456","1",292929456,0,1,3.9,-3.20190589673229
"Total.Sugar.BLUP","diplo-additive",3.65,"S1_295548488","1",295548488,0,1,4.16,-8.49344426848647
"Total.Sugar.BLUP","diplo-additive",3.65,"S1_298974405","1",298974405,0,1,3.73,-3.19756398038058
"Total.Sugar.BLUP","diplo-additive",3.65,"S1_299974119","1",299974119,0,1,3.92,-7.41516563094068
"Total.Sugar.BLUP","diplo-additive",3.65,"S1_300040871","1",300040871,0,1,4.16,-8.49344426848647
