"Trait","Model","Threshold","Marker","Chrom","Position","Ref","Alt","Score","Effect"
"Sucrose","general",5.3,"S3_217237920","3",217237920,0,1,9.37," NA"
"Sucrose","general",5.3,"S3_217237944","3",217237944,0,1,8.48," NA"
"Sucrose","general",5.3,"S3_217572130","3",217572130,0,1,7.07," NA"
"Sucrose","general",5.3,"S4_36027145","4",36027145,0,1,6.13," NA"
"Sucrose","general",5.3,"S4_37297448","4",37297448,0,1,6.53," NA"
"Sucrose","general",5.3,"S4_37324338","4",37324338,0,1,9.66," NA"
"Sucrose","general",5.3,"S4_37324361","4",37324361,0,1,9.43," NA"
"Sucrose","general",5.3,"S4_37324699","4",37324699,0,1,5.87," NA"
"Sucrose","general",5.3,"S4_37324723","4",37324723,0,1,5.53," NA"
"Sucrose","general",5.3,"S4_38028987","4",38028987,0,1,7.09," NA"
"Sucrose","general",5.3,"S4_38296703","4",38296703,0,1,6.29," NA"
"Sucrose","general",5.3,"S4_38571530","4",38571530,0,1,5.47," NA"
"Sucrose","general",5.3,"S4_39543066","4",39543066,0,1,13.51," NA"
"Sucrose","general",5.3,"S4_39544019","4",39544019,0,1,8.02," NA"
"Sucrose","general",5.3,"S4_39544121","4",39544121,0,1,8.92," NA"
"Sucrose","general",5.3,"S4_39558331","4",39558331,0,1,10.15," NA"
"Sucrose","general",5.3,"S4_39599205","4",39599205,0,1,13.98," NA"
"Sucrose","general",5.3,"S4_39599913","4",39599913,0,1,10.72," NA"
"Sucrose","general",5.3,"S4_40700576","4",40700576,0,1,11.59," NA"
"Sucrose","general",5.3,"S4_40700597","4",40700597,0,1,9.87," NA"
"Sucrose","general",5.3,"S4_41192934","4",41192934,0,1,17.55," NA"
"Sucrose","general",5.3,"S4_41837254","4",41837254,0,1,15.39," NA"
"Sucrose","general",5.3,"S4_41837298","4",41837298,0,1,12.27," NA"
"Sucrose","general",5.3,"S4_41839869","4",41839869,0,1,6.78," NA"
"Sucrose","general",5.3,"S4_42817250","4",42817250,0,1,11.15," NA"
"Sucrose","general",5.3,"S4_67652163","4",67652163,0,1,7," NA"
